timestamp,x (in G's),y (in G's),z (in G's)
1426433218.235634,-0.008347,-0.103058,-0.984238
1426433218.245448,0.001175,-0.107712,-0.993454
1426433218.255274,0.003494,-0.112488,-1.001663
1426433218.265088,0.012787,-0.114883,-1.013748
1426433218.274924,0.020828,-0.114029,-1.020660
1426433218.284745,0.023071,-0.109726,-1.009460
1426433218.294570,0.022034,-0.109039,-0.994995
1426433218.304394,0.027649,-0.107635,-0.993164
1426433218.314217,0.031479,-0.115570,-1.000687
1426433218.324046,0.033707,-0.117966,-1.005661
1426433218.333866,0.035095,-0.121765,-1.004364
1426433218.343675,0.025696,-0.124451,-1.002792
1426433218.353510,0.016052,-0.125153,-1.002075
1426433218.363322,0.008530,-0.120682,-1.001053
1426433218.373158,0.008514,-0.114212,-1.003967
1426433218.382972,0.010269,-0.109970,-1.006302
1426433218.392805,0.006042,-0.113098,-1.010910
1426433218.402617,0.011765,-0.114609,-1.008270
1426433218.412451,0.011169,-0.113907,-0.997818
1426433218.422275,0.015747,-0.112396,-0.986099
1426433218.432099,0.014771,-0.110291,-0.979019
1426433218.441923,0.011215,-0.107956,-0.984833
1426433218.451748,0.019745,-0.105698,-0.991943
1426433218.461572,0.022049,-0.109283,-0.993546
1426433218.471395,0.023224,-0.116379,-0.991821
1426433218.481218,0.018005,-0.118164,-0.990616
1426433218.491042,0.013290,-0.119583,-0.990723
1426433218.500868,0.014343,-0.111023,-0.988144
1426433218.510693,0.016296,-0.110748,-0.986160
1426433218.520529,0.015869,-0.116867,-0.981918
1426433218.530345,0.014771,-0.123627,-0.985092
1426433218.540171,0.014496,-0.123535,-0.988220
1426433218.549997,0.015991,-0.119720,-0.989838
1426433218.559823,0.010254,-0.118927,-0.999649
1426433218.569648,0.011658,-0.118408,-1.002991
1426433218.579471,0.015594,-0.117645,-0.998230
1426433218.589296,0.014771,-0.118546,-0.995438
1426433218.599119,0.013992,-0.119278,-0.995392
1426433218.608943,0.014725,-0.120575,-0.994507
1426433218.618767,0.021042,-0.119812,-0.993103
1426433218.628591,0.017944,-0.119339,-0.998154
1426433218.638416,0.017838,-0.122757,-1.003647
1426433218.648233,0.019974,-0.121506,-1.014114
1426433218.658063,0.020691,-0.122787,-1.012070
1426433218.667886,0.018265,-0.124802,-1.011124
1426433218.677710,0.014374,-0.122955,-1.003326
1426433218.687533,0.005020,-0.121567,-0.992477
1426433218.697357,0.002579,-0.116058,-0.996017
1426433218.707180,0.007492,-0.117599,-1.002579
1426433218.717002,0.009354,-0.122574,-0.998611
1426433218.726818,0.007172,-0.120636,-0.987671
1426433218.736651,0.009796,-0.113144,-0.981125
1426433218.746472,0.011597,-0.113602,-0.983322
1426433218.756300,0.021698,-0.115341,-0.985550
1426433218.766125,0.021103,-0.119705,-0.990143
1426433218.775947,0.014877,-0.118042,-0.986328
1426433218.785761,0.014450,-0.117950,-0.980988
1426433218.795597,0.015030,-0.119232,-0.980637
1426433218.805431,0.023300,-0.117859,-0.994019
1426433218.815256,0.029099,-0.111908,-0.997314
1426433218.825052,0.032654,-0.110062,-0.990021
1426433218.834875,0.033798,-0.114563,-0.984802
1426433218.844713,0.036331,-0.122894,-0.980774
1426433218.854535,0.034958,-0.129028,-0.975189
1426433218.864360,0.031784,-0.128983,-0.979340
1426433218.874193,0.027176,-0.127762,-0.981689
1426433218.884013,0.027695,-0.123154,-0.979828
1426433218.893826,0.026123,-0.126923,-0.984848
1426433218.903668,0.020584,-0.129547,-0.990906
1426433218.913477,0.021729,-0.130066,-1.002777
1426433218.923315,0.017502,-0.118546,-1.001892
1426433218.933117,0.014465,-0.114899,-1.000488
1426433218.942965,0.019394,-0.116013,-0.998627
1426433218.952761,0.024033,-0.118927,-0.998596
1426433218.962612,0.018509,-0.121994,-1.007904
1426433218.972440,0.023300,-0.121292,-1.011002
1426433218.982265,0.029541,-0.117950,-1.008072
1426433218.992071,0.034180,-0.119125,-0.998856
1426433219.001892,0.039688,-0.122223,-0.987579
1426433219.011718,0.041504,-0.130768,-0.981110
1426433219.021535,0.043015,-0.135727,-0.975418
1426433219.031363,0.041962,-0.136932,-0.973648
1426433219.041190,0.038116,-0.137848,-0.978088
1426433219.051014,0.043945,-0.138702,-0.988739
1426433219.060838,0.046021,-0.139862,-0.992508
1426433219.070661,0.036438,-0.141052,-0.985748
1426433219.080485,0.030975,-0.138489,-0.988846
1426433219.090308,0.031540,-0.134781,-0.990982
1426433219.100132,0.027084,-0.134552,-0.991577
1426433219.109957,0.026642,-0.139435,-1.001633
1426433219.119785,0.028458,-0.141098,-1.008987
1426433219.129616,0.027328,-0.142334,-1.005219
1426433219.139433,0.027481,-0.144196,-1.000229
1426433219.149254,0.022659,-0.141403,-0.993607
1426433219.159080,0.017838,-0.140121,-0.994736
1426433219.168906,0.022018,-0.136032,-1.002823
1426433219.178727,0.025436,-0.137207,-1.009567
1426433219.188553,0.018997,-0.150497,-1.000107
1426433219.198378,0.026199,-0.133484,-1.006500
1426433219.208200,0.027649,-0.121933,-0.988953
1426433219.218025,0.022537,-0.126572,-0.989548
1426433219.227848,0.025528,-0.132263,-0.988052
1426433219.237673,0.025162,-0.133057,-0.982315
1426433219.247497,0.026764,-0.133133,-0.976776
1426433219.257309,0.028442,-0.130219,-0.975540
1426433219.267132,0.026672,-0.118851,-0.969650
1426433219.276966,0.024200,-0.118744,-0.970963
1426433219.286786,0.024048,-0.130707,-0.966721
1426433219.296616,0.027664,-0.134048,-0.961853
1426433219.306439,0.025406,-0.123642,-0.949051
1426433219.316253,0.005569,-0.124725,-0.937759
1426433219.326075,-0.012787,-0.130188,-0.927643
1426433219.335909,-0.016647,-0.136139,-0.925125
1426433219.345736,-0.017075,-0.142593,-0.917953
1426433219.355559,-0.024780,-0.154739,-0.907166
1426433219.365384,-0.029327,-0.158646,-0.900940
1426433219.375207,-0.031540,-0.156998,-0.899017
1426433219.385021,-0.028137,-0.153290,-0.913834
1426433219.394857,-0.025879,-0.152374,-0.945923
1426433219.404674,-0.026489,-0.151184,-0.987137
1426433219.414503,-0.029129,-0.144501,-1.024612
1426433219.424327,-0.029800,-0.144135,-1.051239
1426433219.434146,-0.034027,-0.138779,-1.069626
1426433219.443965,-0.048874,-0.138229,-1.077026
1426433219.453802,-0.058624,-0.145447,-1.068069
1426433219.463641,-0.063934,-0.155731,-1.045456
1426433219.473452,-0.062180,-0.166000,-1.035431
1426433219.483266,-0.056595,-0.179840,-1.031143
1426433219.493100,-0.050949,-0.192398,-1.034912
1426433219.502926,-0.040619,-0.200256,-1.041153
1426433219.512751,-0.033798,-0.199646,-1.055450
1426433219.522577,-0.022156,-0.197983,-1.054108
1426433219.532400,-0.009232,-0.201233,-1.036835
1426433219.542225,0.004227,-0.207397,-1.011612
1426433219.552049,0.008392,-0.216995,-0.971024
1426433219.561871,0.014740,-0.224594,-0.938950
1426433219.571698,0.025848,-0.227234,-0.901077
1426433219.581524,0.025284,-0.237854,-0.879730
1426433219.591348,0.028870,-0.237915,-0.869370
1426433219.601172,0.024841,-0.239136,-0.872345
1426433219.611004,0.022537,-0.236053,-0.886810
1426433219.620820,0.009186,-0.226257,-0.901001
1426433219.630646,-0.009979,-0.215240,-0.924011
1426433219.640471,-0.029175,-0.195618,-0.944824
1426433219.650295,-0.043869,-0.173843,-0.961853
1426433219.660120,-0.054596,-0.156860,-0.973587
1426433219.669944,-0.057358,-0.146561,-0.972183
1426433219.679770,-0.054993,-0.144775,-0.968552
1426433219.689595,-0.052673,-0.149033,-0.960419
1426433219.699419,-0.051804,-0.150497,-0.948502
1426433219.709244,-0.050003,-0.148468,-0.928619
1426433219.719069,-0.048141,-0.147354,-0.918869
1426433219.728892,-0.042053,-0.152252,-0.909988
1426433219.738717,-0.033691,-0.158142,-0.906219
1426433219.748540,-0.023163,-0.164185,-0.893494
1426433219.758366,-0.015869,-0.165878,-0.885986
1426433219.768201,-0.009552,-0.165771,-0.875305
1426433219.778015,-0.006607,-0.169662,-0.863403
1426433219.787823,0.005188,-0.170868,-0.851562
1426433219.797665,0.002060,-0.182861,-0.820175
1426433219.807477,0.019257,-0.168747,-0.805038
1426433219.817317,0.024506,-0.173264,-0.761459
1426433219.827130,0.036926,-0.184021,-0.739319
1426433219.836971,0.049408,-0.198608,-0.706940
1426433219.846786,0.047211,-0.214966,-0.687531
1426433219.856621,0.047394,-0.218567,-0.680923
1426433219.866440,0.025391,-0.224838,-0.707596
1426433219.876271,-0.007721,-0.220627,-0.748154
1426433219.886089,-0.031372,-0.208969,-0.799850
1426433219.895919,-0.045776,-0.189178,-0.826843
1426433219.905745,-0.054047,-0.190338,-0.838013
1426433219.915573,-0.059616,-0.196884,-0.826599
1426433219.925400,-0.051407,-0.200958,-0.803955
1426433219.935214,-0.040695,-0.213638,-0.793518
1426433219.945021,-0.039597,-0.218231,-0.784592
1426433219.954862,-0.037415,-0.207031,-0.790619
1426433219.964687,-0.034683,-0.183289,-0.819931
1426433219.974512,-0.047684,-0.170319,-0.865936
1426433219.984324,-0.054535,-0.163620,-0.885208
1426433219.994161,-0.057190,-0.150070,-0.889481
1426433220.003975,-0.054993,-0.133911,-0.883759
1426433220.013811,-0.045258,-0.112045,-0.888596
1426433220.023628,-0.034760,-0.077652,-0.948776
1426433220.033464,-0.009033,-0.030807,-1.067245
1426433220.043290,0.036667,0.021164,-1.219879
1426433220.053114,0.067612,0.064117,-1.356277
1426433220.062939,0.081741,0.082352,-1.474213
1426433220.072764,0.093094,0.111862,-1.536713
1426433220.082589,0.108170,0.118164,-1.532990
1426433220.092418,0.124649,0.092773,-1.483154
1426433220.102220,0.128357,0.040314,-1.407761
1426433220.112045,0.132980,-0.022446,-1.322342
1426433220.121871,0.136475,-0.067581,-1.239258
1426433220.131697,0.144028,-0.109497,-1.182632
1426433220.141528,0.150681,-0.128403,-1.174759
1426433220.151352,0.146713,-0.125687,-1.200836
1426433220.161178,0.131393,-0.115417,-1.262207
1426433220.171014,0.107895,-0.104935,-1.344360
1426433220.180842,0.091507,-0.102905,-1.409821
1426433220.190653,0.078812,-0.115158,-1.430237
1426433220.200485,0.040863,-0.127533,-1.397079
1426433220.210304,0.000259,-0.141861,-1.288605
1426433220.220132,-0.018158,-0.149384,-1.128082
1426433220.229952,-0.017990,-0.170151,-0.974472
1426433220.239788,-0.027786,-0.193848,-0.865463
1426433220.249618,-0.036591,-0.226425,-0.771088
1426433220.259424,-0.037094,-0.245728,-0.714447
1426433220.269269,-0.031281,-0.245193,-0.691116
1426433220.279077,-0.025406,-0.236984,-0.721649
1426433220.288902,-0.028610,-0.210159,-0.780243
1426433220.298727,0.028534,-0.151947,-0.790543
1426433220.308553,0.049057,-0.138870,-0.843750
1426433220.318384,0.052521,-0.156876,-0.847229
1426433220.328209,0.065903,-0.174683,-0.846039
1426433220.338035,0.071136,-0.179474,-0.823654
1426433220.347854,0.077194,-0.176346,-0.785995
1426433220.357686,0.064117,-0.167542,-0.733658
1426433220.367507,0.062897,-0.170517,-0.689575
1426433220.377337,0.062469,-0.177429,-0.657913
1426433220.387161,0.063370,-0.184464,-0.654999
1426433220.396998,0.070877,-0.191742,-0.685745
1426433220.406805,0.084198,-0.190994,-0.750259
1426433220.416641,0.089478,-0.194427,-0.825089
1426433220.426466,0.090988,-0.189514,-0.877625
1426433220.436292,0.089478,-0.177536,-0.913300
1426433220.446121,0.084442,-0.161072,-0.917007
1426433220.455941,0.062973,-0.158142,-0.890030
1426433220.465774,0.047119,-0.159958,-0.839218
1426433220.475591,0.034958,-0.160553,-0.791809
1426433220.485428,0.034485,-0.156494,-0.747940
1426433220.495243,0.043381,-0.150665,-0.744278
1426433220.505061,0.053894,-0.144760,-0.779007
1426433220.514894,0.061829,-0.131989,-0.826447
1426433220.524709,0.069809,-0.112137,-0.866180
1426433220.534545,0.078629,-0.093475,-0.890137
1426433220.544358,0.081497,-0.081726,-0.901398
1426433220.554195,0.088684,-0.078964,-0.905319
1426433220.564010,0.088974,-0.085938,-0.904526
1426433220.573825,0.089050,-0.092438,-0.893326
1426433220.583671,0.088181,-0.099792,-0.888763
1426433220.593497,0.085770,-0.109192,-0.894424
1426433220.603322,0.087112,-0.127487,-0.898224
1426433220.613147,0.093170,-0.138519,-0.916962
1426433220.622971,0.106796,-0.148605,-0.951065
1426433220.632794,0.130447,-0.157364,-1.026794
1426433220.642619,0.146271,-0.159210,-1.167007
1426433220.652445,0.162933,-0.145386,-1.344971
1426433220.662269,0.188812,-0.120270,-1.532806
1426433220.672094,0.184616,-0.113846,-1.717117
1426433220.681919,0.163620,-0.108139,-1.863419
1426433220.691742,0.128708,-0.113617,-1.883041
