timestamp,x (in G's),y (in G's),z (in G's)
1426433321.849228,0.050964,-0.146194,-1.005920
1426433321.859037,0.058640,-0.134537,-0.983658
1426433321.868874,0.050858,-0.128296,-0.985062
1426433321.878704,0.041779,-0.131073,-0.995895
1426433321.888521,0.040039,-0.133865,-0.997375
1426433321.898331,0.043610,-0.130432,-0.996841
1426433321.908172,0.044739,-0.132385,-1.005890
1426433321.917996,0.043076,-0.132111,-1.016296
1426433321.927821,0.045120,-0.128342,-1.018814
1426433321.937647,0.047653,-0.127518,-1.022217
1426433321.947471,0.041779,-0.130997,-1.019699
1426433321.957296,0.037979,-0.128693,-1.013489
1426433321.967121,0.035767,-0.126602,-1.009201
1426433321.976945,0.032898,-0.121735,-1.006882
1426433321.986769,0.031174,-0.122894,-1.005905
1426433321.996595,0.027344,-0.120041,-1.004669
1426433322.006405,0.021576,-0.122192,-1.001221
1426433322.016244,0.020844,-0.122223,-0.992096
1426433322.026076,0.019608,-0.122803,-0.984955
1426433322.035891,0.021179,-0.123306,-0.975525
1426433322.045700,0.024292,-0.127533,-0.969330
1426433322.055542,0.023972,-0.130173,-0.968658
1426433322.065353,0.023712,-0.130341,-0.970535
1426433322.075199,0.022812,-0.127655,-0.972916
1426433322.085014,0.023361,-0.125778,-0.985321
1426433322.094839,0.027771,-0.127167,-0.995102
1426433322.104648,0.030060,-0.128220,-0.990829
1426433322.114486,0.035889,-0.129974,-0.991867
1426433322.124299,0.041321,-0.133698,-0.994125
1426433322.134132,0.041733,-0.134460,-0.996277
1426433322.143947,0.042023,-0.135544,-0.995621
1426433322.153782,0.044647,-0.133224,-0.996201
1426433322.163605,0.049728,-0.134979,-0.993057
1426433322.173427,0.053726,-0.140289,-0.982925
1426433322.183252,0.049225,-0.144455,-0.981384
1426433322.193077,0.049362,-0.146286,-0.986359
1426433322.202895,0.055832,-0.142746,-0.988434
1426433322.212725,0.057190,-0.140457,-0.979126
1426433322.222549,0.054932,-0.140610,-0.974915
1426433322.232373,0.052353,-0.147293,-0.976120
1426433322.242197,0.052780,-0.153183,-0.980438
1426433322.252023,0.052429,-0.157089,-0.990860
1426433322.261845,0.050735,-0.158890,-0.993561
1426433322.271670,0.045105,-0.155243,-0.987503
1426433322.281494,0.042618,-0.148514,-0.997513
1426433322.291319,0.043777,-0.142548,-1.002655
1426433322.301142,0.041672,-0.145569,-1.001877
1426433322.310967,0.037811,-0.151657,-1.008270
1426433322.320791,0.039276,-0.152786,-1.011307
1426433322.330614,0.043228,-0.153046,-1.014450
1426433322.340439,0.045090,-0.147736,-1.018066
1426433322.350264,0.038025,-0.143845,-1.012222
1426433322.360088,0.036728,-0.143341,-1.003983
1426433322.369911,0.037323,-0.145798,-0.993988
1426433322.379735,0.026657,-0.149811,-0.978622
1426433322.389557,0.025711,-0.152252,-0.977982
1426433322.399381,0.035568,-0.147186,-0.978088
1426433322.409203,0.031677,-0.147629,-0.969101
1426433322.419028,0.024475,-0.153397,-0.971222
1426433322.428860,0.028519,-0.151154,-0.983307
1426433322.438674,0.034836,-0.141602,-0.993652
1426433322.448499,0.031830,-0.133514,-0.997574
1426433322.458322,0.026062,-0.133087,-1.004120
1426433322.468144,0.022873,-0.132965,-1.000961
1426433322.477968,0.020782,-0.129593,-0.986450
1426433322.487779,0.021851,-0.129898,-0.970383
1426433322.497617,0.020325,-0.127243,-0.962112
