timestamp,x (in G's),y (in G's),z (in G's)
1426437909.442559,0.042694,-0.393433,-0.904617
1426437909.452370,0.044128,-0.396500,-0.906769
1426437909.462189,0.041382,-0.398987,-0.905548
1426437909.472022,0.038635,-0.400894,-0.903839
1426437909.481864,0.033081,-0.402893,-0.902527
1426437909.491691,0.033966,-0.402405,-0.901657
1426437909.501518,0.032181,-0.402039,-0.903900
1426437909.511346,0.028412,-0.400299,-0.915283
1426437909.521171,0.022598,-0.395782,-0.931732
1426437909.531000,0.021576,-0.384125,-0.935593
1426437909.540828,0.016144,-0.376678,-0.937546
1426437909.550656,0.017380,-0.375046,-0.932312
1426437909.560484,0.017822,-0.379929,-0.929001
1426437909.570313,0.019791,-0.384140,-0.925934
1426437909.580142,0.019791,-0.384079,-0.920486
1426437909.589969,0.022903,-0.382217,-0.910202
1426437909.599786,0.019180,-0.381561,-0.902954
1426437909.609624,0.020462,-0.384033,-0.900665
1426437909.619436,0.021866,-0.381012,-0.898987
1426437909.629283,0.026443,-0.381149,-0.905090
1426437909.639109,0.030426,-0.386154,-0.907700
1426437909.648938,0.025574,-0.392426,-0.908676
1426437909.658768,0.021576,-0.390854,-0.909470
1426437909.668595,0.035721,-0.390991,-0.924545
1426437909.678412,0.038177,-0.397949,-0.933350
1426437909.688252,0.027908,-0.395660,-0.927048
1426437909.698067,0.021851,-0.391357,-0.921341
1426437909.707906,0.023071,-0.394653,-0.919403
1426437909.717748,0.026627,-0.394073,-0.917740
1426437909.727564,0.034454,-0.387146,-0.924759
1426437909.737383,0.037445,-0.386551,-0.931702
1426437909.747205,0.030334,-0.384354,-0.928024
1426437909.757052,0.032120,-0.383774,-0.918762
1426437909.766870,0.037415,-0.388397,-0.910934
1426437909.776707,0.042007,-0.393448,-0.910889
1426437909.786535,0.044418,-0.395798,-0.917252
1426437909.796363,0.047012,-0.392807,-0.923523
1426437909.806192,0.042953,-0.386627,-0.921249
1426437909.816028,0.040359,-0.388779,-0.910034
1426437909.825845,0.041702,-0.397385,-0.903488
1426437909.835674,0.041443,-0.399857,-0.906006
1426437909.845502,0.036789,-0.391769,-0.913361
1426437909.855330,0.038284,-0.384598,-0.921265
1426437909.865157,0.047852,-0.390411,-0.924545
1426437909.874983,0.048615,-0.400620,-0.923965
1426437909.884811,0.046295,-0.403778,-0.920090
1426437909.894638,0.040985,-0.396774,-0.921280
1426437909.904464,0.035660,-0.390701,-0.918030
1426437909.914291,0.033524,-0.387390,-0.908508
1426437909.924118,0.035583,-0.391861,-0.903809
1426437909.933943,0.039169,-0.397217,-0.902161
1426437909.943778,0.036530,-0.398209,-0.903839
1426437909.953597,0.034729,-0.393967,-0.901611
1426437909.963423,0.031509,-0.392319,-0.902969
1426437909.973250,0.031158,-0.390839,-0.906189
1426437909.983076,0.033340,-0.393005,-0.901749
1426437909.992904,0.040100,-0.398285,-0.901489
1426437910.002732,0.041061,-0.401245,-0.907974
1426437910.012559,0.039505,-0.392776,-0.922577
1426437910.022387,0.041016,-0.379089,-0.914017
1426437910.032217,0.040421,-0.380890,-0.898315
1426437910.042043,0.039398,-0.392502,-0.885193
1426437910.051871,0.039703,-0.399582,-0.875168
1426437910.061700,0.042725,-0.399979,-0.868530
1426437910.071526,0.042496,-0.401581,-0.872101
1426437910.081355,0.040329,-0.406448,-0.875198
1426437910.091183,0.035980,-0.409348,-0.875519
1426437910.101010,0.034744,-0.411057,-0.884506
