timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426437965.723871,-0.132006,0.009310,-0.002505
1426437965.733877,-0.140562,-0.005602,0.002811
1426437965.743889,-0.133166,-0.019510,0.004858
1426437965.753895,-0.105517,-0.029274,0.006817
1426437965.763879,-0.065029,-0.031688,0.011930
1426437965.773885,-0.022371,-0.026658,0.017057
1426437965.783904,0.003165,-0.030000,0.016919
1426437965.793910,0.002088,-0.027834,0.013737
1426437965.803917,-0.020239,-0.013810,0.008572
1426437965.813923,-0.041508,-0.007287,0.007635
1426437965.823928,-0.048953,-0.017975,0.016153
1426437965.833934,-0.054316,-0.036120,0.023572
1426437965.843940,-0.062840,-0.040351,0.025730
1426437965.853946,-0.062801,-0.032896,0.025754
1426437965.863939,-0.056397,-0.025448,0.022553
1426437965.873945,-0.052118,-0.016922,0.019366
1426437965.883963,-0.046775,-0.004112,0.012994
1426437965.893969,-0.048885,0.008741,0.006660
1426437965.903975,-0.062724,0.018466,0.000373
1426437965.913981,-0.081829,0.027076,0.002626
1426437965.923986,-0.100883,0.031335,0.014444
1426437965.933992,-0.102824,0.042901,0.031525
1426437965.943997,-0.081497,0.042738,0.035676
1426437965.954003,-0.045495,0.013835,0.029015
1426437965.964009,-0.019057,-0.016108,0.025591
1426437965.974015,-0.019097,-0.026778,0.027685
1426437965.984020,-0.042483,-0.022403,0.029945
1426437965.994026,-0.067001,-0.023297,0.026871
1426437966.004032,-0.085167,-0.026327,0.020564
1426437966.014038,-0.089438,-0.024142,0.017399
1426437966.024044,-0.082001,-0.024165,0.015233
1426437966.034050,-0.062874,-0.025300,0.010876
1426437966.044049,-0.034210,-0.019998,-0.004153
1426437966.054055,-0.002276,-0.001946,-0.018092
1426437966.064068,0.013812,0.020327,-0.018099
1426437966.074074,0.012873,0.024462,-0.004242
1426437966.084078,0.002161,-0.003268,0.006366
1426437966.094084,-0.018267,-0.036136,0.003166
1426437966.104090,-0.043002,-0.061414,-0.011697
1426437966.114096,-0.068726,-0.073915,-0.025449
1426437966.124102,-0.085744,-0.056686,-0.034888
1426437966.134108,-0.084509,-0.025817,-0.033729
1426437966.144114,-0.057772,-0.007896,-0.030610
1426437966.154120,-0.018395,-0.007027,-0.033997
1426437966.164126,0.017751,-0.000734,-0.045866
1426437966.174132,0.033698,0.017431,-0.061854
1426437966.184137,0.038020,0.038767,-0.068193
1426437966.194143,0.031749,0.050448,-0.060672
1426437966.204147,0.013714,0.046181,-0.048886
1426437966.214153,-0.018182,0.036658,-0.035984
1426437966.224161,-0.055461,0.025097,-0.029448
1426437966.234167,-0.086354,0.017789,-0.026125
1426437966.244168,-0.107679,0.010447,-0.024978
1426437966.254174,-0.119379,0.005138,-0.019614
1426437966.264183,-0.125701,-0.003487,-0.004708
1426437966.274189,-0.131049,-0.028083,0.009077
1426437966.284194,-0.142831,-0.042935,0.010152
1426437966.294200,-0.156739,-0.041700,0.000644
1426437966.304193,-0.163194,-0.040507,-0.008900
1426437966.314199,-0.160097,-0.046834,-0.017453
1426437966.324217,-0.147393,-0.050032,-0.024978
1426437966.334223,-0.131481,-0.048978,-0.033570
1426437966.344229,-0.114509,-0.048995,-0.042171
1426437966.354235,-0.093234,-0.043732,-0.048647
1426437966.364242,-0.075105,-0.024575,-0.058256
1426437966.374248,-0.056882,0.006257,-0.063568
1426437966.384253,-0.040768,0.034930,-0.064619
1426437966.394259,-0.033106,0.062496,-0.056051
1426437966.404259,-0.037214,0.080555,-0.048519
1426437966.414265,-0.045729,0.068808,-0.039999
1426437966.424280,-0.062875,0.043316,-0.036804
1426437966.434286,-0.083307,0.012598,-0.042125
1426437966.444295,-0.101663,-0.029858,-0.046431
1426437966.454301,-0.109438,-0.078724,-0.055069
1426437966.464307,-0.115073,-0.121182,-0.066890
1426437966.474313,-0.122750,-0.145512,-0.079705
1426437966.484304,-0.135670,-0.163483,-0.086087
1426437966.494310,-0.147526,-0.173954,-0.097772
1426437966.504314,-0.154121,-0.188666,-0.114820
1426437966.514320,-0.151228,-0.210816,-0.139392
1426437966.524341,-0.136685,-0.237244,-0.169358
1426437966.534347,-0.110381,-0.257369,-0.197233
1426437966.544335,-0.079732,-0.255113,-0.229314
1426437966.554341,-0.059577,-0.235836,-0.252772
1426437966.564358,-0.065828,-0.208100,-0.253714
1426437966.574364,-0.106100,-0.181303,-0.247038
1426437966.584370,-0.179399,-0.159651,-0.239150
1426437966.594376,-0.269737,-0.143256,-0.228001
1426437966.604381,-0.365406,-0.134327,-0.212591
1426437966.614387,-0.445087,-0.129800,-0.191953
1426437966.624393,-0.492808,-0.129767,-0.166166
1426437966.634399,-0.494665,-0.105442,-0.146916
1426437966.644404,-0.448555,-0.055731,-0.138466
1426437966.654410,-0.352446,-0.000893,-0.139830
1426437966.664416,-0.232859,0.058031,-0.137039
1426437966.674422,-0.120821,0.095677,-0.132152
1426437966.684427,-0.045102,0.097230,-0.117620
1426437966.694433,-0.015320,0.060647,-0.096598
1426437966.704439,-0.030255,0.009309,-0.064756
1426437966.714445,-0.068507,-0.029165,-0.027432
1426437966.724443,-0.101356,-0.049544,0.007795
1426437966.734449,-0.087355,-0.060547,0.036431
1426437966.744463,-0.010468,-0.048410,0.057379
1426437966.754469,0.125314,0.010138,0.089894
1426437966.764468,0.283926,0.107629,0.157554
1426437966.774474,0.415153,0.235991,0.243548
1426437966.784493,0.489914,0.362579,0.326624
1426437966.794499,0.482292,0.442971,0.389734
1426437966.804498,0.392160,0.463393,0.425380
1426437966.814504,0.268761,0.468252,0.437720
1426437966.824518,0.181450,0.445172,0.454048
1426437966.834524,0.173033,0.410787,0.491236
1426437966.844507,0.244689,0.377810,0.555708
1426437966.854513,0.363259,0.347697,0.626342
1426437966.864526,0.491187,0.307091,0.674540
1426437966.874532,0.584622,0.238271,0.686624
1426437966.884546,0.622325,0.136997,0.673329
1426437966.894552,0.599935,-0.036242,0.648389
1426437966.904556,0.527990,-0.303884,0.612741
1426437966.914562,0.426972,-0.643850,0.584452
1426437966.924568,0.321637,-1.025530,0.577339
1426437966.934574,0.192933,-1.413576,0.582031
1426437966.944579,-0.002282,-1.662584,0.566220
1426437966.954585,-0.287972,-1.650861,0.515520
1426437966.964592,-0.646043,-1.381718,0.430894
1426437966.974598,-1.020488,-0.934277,0.310740
1426437966.984600,-1.312834,-0.442427,0.174354
1426437966.994606,-1.445575,-0.022119,0.072069
1426437967.004614,-1.392347,0.261417,0.015247
1426437967.014620,-1.176162,0.483110,-0.134139
1426437967.024626,-0.778360,0.330443,-0.227107
1426437967.034632,-0.337418,0.105003,-0.197043
1426437967.044637,-0.051156,0.125789,-0.093012
1426437967.054643,-0.045950,0.406252,-0.020795
1426437967.064649,-0.207320,0.935657,-0.041676
1426437967.074655,-0.489127,0.944616,-0.140309
1426437967.084661,-0.855014,0.769888,-0.247641
1426437967.094667,-1.139492,0.502145,-0.367393
1426437967.104673,-1.222274,0.150382,-0.510782
1426437967.114679,-1.074789,-0.108722,-0.682692
1426437967.124684,-0.722052,-0.192081,-0.868888
1426437967.134690,-0.252829,-0.236986,-1.025732
1426437967.144696,0.227778,-0.311831,-1.064566
1426437967.154702,0.592573,-0.332982,-0.966387
1426437967.164707,0.764812,-0.220561,-0.796551
1426437967.174713,0.740498,-0.017487,-0.631825
1426437967.184720,0.533881,0.191219,-0.500238
1426437967.194726,0.257366,0.140953,-0.421313
1426437967.204729,0.032611,-0.007725,-0.329130
1426437967.214735,-0.048129,-0.112550,-0.232198
1426437967.224740,-0.003655,-0.386680,-0.216286
1426437967.234746,0.116275,-0.569941,-0.282421
1426437967.244753,0.263582,-0.575277,-0.371529
1426437967.254759,0.390433,-0.471130,-0.425047
