timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426437993.956856,-6.374222,20.500854,-242.135864
1426437993.976647,-6.374222,21.189957,-242.801529
1426437993.996462,-7.580154,20.673126,-240.638123
1426437994.016269,-6.891052,21.017685,-242.302277
1426437994.036101,-7.235611,19.639465,-241.636612
1426437994.055891,-6.891052,21.362228,-242.635117
1426437994.075709,-7.235611,21.362228,-241.969452
1426437994.095523,-5.857391,20.673126,-242.967941
1426437994.115333,-8.269257,21.706787,-242.967941
1426437994.135171,-7.752441,20.845398,-243.134369
1426437994.154976,-6.374222,21.879059,-243.800034
1426437994.174772,-7.407883,21.189957,-243.467194
1426437994.194588,-6.891052,19.639465,-241.636612
1426437994.214425,-7.235611,21.362228,-243.300781
1426437994.234231,-7.752441,21.189957,-242.801529
1426437994.254036,-4.996017,22.223618,-242.135864
1426437994.273872,-6.891052,20.328583,-242.302277
1426437994.293678,-5.340561,21.534515,-241.803024
1426437994.313490,-6.374222,22.223618,-242.801529
1426437994.333321,-5.685120,21.879059,-241.803024
1426437994.353127,-7.235611,20.328583,-242.302277
1426437994.372951,-6.891052,21.017685,-242.635117
1426437994.392738,-6.546494,20.328583,-241.969452
1426437994.412560,-7.580154,21.362228,-242.967941
1426437994.432380,-8.786087,21.534515,-242.135864
1426437994.452186,-6.891052,22.051346,-243.633606
1426437994.472015,-6.718781,21.879059,-243.467194
1426437994.491818,-6.891052,20.328583,-241.303787
1426437994.511635,-6.546494,22.051346,-244.299271
1426437994.531440,-5.340561,20.845398,-242.468704
1426437994.551270,-7.924713,21.017685,-242.967941
1426437994.571089,-7.924713,21.362228,-241.969452
1426437994.590910,-7.580154,22.395889,-242.967941
1426437994.610698,-7.924713,22.395889,-241.303787
1426437994.630517,-6.718781,22.912720,-243.467194
1426437994.650332,-7.063324,22.568161,-241.803024
1426437994.670144,-6.546494,22.395889,-242.635117
1426437994.689952,-6.891052,23.429550,-242.635117
1426437994.709769,-6.546494,21.706787,-242.635117
1426437994.729582,-8.096985,20.845398,-242.801529
1426437994.749401,-7.063324,23.257278,-242.468704
1426437994.769212,-7.924713,21.706787,-243.300781
1426437994.789032,-7.924713,21.017685,-244.964951
1426437994.808851,-8.269257,22.740448,-241.969452
1426437994.828661,-8.096985,20.845398,-244.465698
1426437994.848481,-7.063324,22.912720,-242.135864
1426437994.868295,-6.891052,22.051346,-242.635117
1426437994.888117,-6.891052,21.017685,-242.635117
1426437994.907924,-6.029678,22.568161,-243.467194
1426437994.927741,-6.374222,21.189957,-244.798523
1426437994.947554,-5.857391,21.362228,-243.633606
1426437994.967750,-6.718781,21.534515,-243.134369
1426437994.987562,-5.168289,20.673126,-242.635117
1426437995.007370,-6.029678,20.156296,-243.134369
1426437995.027178,-4.823746,20.328583,-243.300781
1426437995.046989,-6.546494,20.673126,-242.967941
1426437995.066804,-5.685120,21.879059,-241.470200
1426437995.086616,-6.029678,21.534515,-241.470200
1426437995.106438,-6.718781,20.500854,-242.468704
1426437995.126251,-6.201950,18.605820,-241.969452
1426437995.146055,-8.958374,19.639465,-240.305283
1426437995.165875,-9.475189,19.467194,-240.138870
1426437995.185677,-9.302917,20.673126,-241.969452
1426437995.205483,-9.819748,21.534515,-241.803024
1426437995.225289,-9.819748,22.912720,-243.467194
1426437995.245094,-8.613815,25.152313,-241.636612
1426437995.264899,-9.992020,24.807755,-241.969452
1426437995.284707,-10.681122,24.118652,-242.967941
1426437995.304512,-9.302917,25.496857,-244.299271
1426437995.324318,-9.819748,24.290924,-244.132858
1426437995.344119,-10.336578,24.463211,-243.966446
1426437995.363930,-10.164307,23.601822,-243.467194
1426437995.383761,-7.407883,23.601822,-244.465698
