timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426438661.583407,30.320587,43.069031,-247.294769
1426438661.603242,31.354248,43.413574,-248.293274
1426438661.623047,30.837418,43.241302,-247.128357
1426438661.642852,31.698807,44.102692,-247.627609
1426438661.662669,32.043350,44.447235,-245.963440
1426438661.682481,31.354248,44.447235,-247.627609
1426438661.702293,30.320587,44.102692,-247.294769
1426438661.722111,30.492874,43.585861,-247.794022
1426438661.741923,30.320587,45.480896,-247.960434
1426438661.761733,30.665146,43.069031,-246.296280
1426438661.781547,30.148315,43.930405,-247.461182
1426438661.801364,30.320587,43.413574,-248.626099
1426438661.821178,31.181976,44.964066,-247.794022
1426438661.840990,30.665146,45.825439,-247.294769
1426438661.860806,30.492874,46.342270,-247.128357
1426438661.880624,30.665146,46.859100,-247.960434
1426438661.900434,31.526520,44.964066,-247.794022
1426438661.920251,31.009705,44.102692,-247.627609
1426438661.940062,31.181976,44.964066,-246.462692
1426438661.959882,31.526520,46.342270,-247.461182
1426438661.979693,32.043350,45.480896,-247.294769
1426438661.999502,32.560181,46.686829,-246.795517
1426438662.019317,31.698807,46.169998,-245.963440
1426438662.039129,31.698807,47.548203,-245.297775
1426438662.058934,32.043350,46.859100,-247.627609
1426438662.078752,32.387909,46.169998,-246.961945
1426438662.098561,32.560181,46.342270,-246.129852
1426438662.118367,32.387909,47.892761,-246.961945
1426438662.138173,32.215637,48.409592,-245.797028
1426438662.157984,30.837418,48.754135,-245.797028
1426438662.177792,32.387909,47.548203,-246.629105
1426438662.197602,31.526520,48.065033,-246.462692
1426438662.217411,32.732452,47.548203,-247.294769
1426438662.237218,33.593842,48.065033,-246.462692
1426438662.257032,32.560181,46.686829,-245.797028
1426438662.276834,32.732452,47.548203,-246.961945
1426438662.296643,33.077011,48.581863,-246.961945
1426438662.316451,31.698807,47.892761,-245.963440
1426438662.336264,32.904739,48.754135,-246.462692
1426438662.356075,32.904739,50.132355,-246.462692
1426438662.375888,33.938385,49.443237,-245.464188
1426438662.395702,34.282944,50.821457,-245.464188
1426438662.415510,34.455215,49.615524,-246.296280
1426438662.435334,33.938385,50.132355,-246.129852
1426438662.455134,33.938385,50.821457,-244.132858
1426438662.474945,33.421570,50.993729,-244.632111
1426438662.494751,34.799774,47.548203,-245.630615
1426438662.514558,35.833435,49.615524,-245.630615
1426438662.534371,34.282944,48.754135,-245.797028
1426438662.554177,33.766113,49.270966,-245.963440
1426438662.574005,35.488876,47.548203,-244.299271
1426438662.594883,36.522537,49.270966,-243.966446
1426438662.614685,36.177979,47.548203,-243.633606
1426438662.634491,36.005707,46.342270,-244.465698
1426438662.654296,36.867081,47.548203,-244.632111
1426438662.674101,36.005707,47.375931,-245.464188
1426438662.693918,36.350250,48.409592,-245.131363
1426438662.713731,35.144318,48.237305,-243.300781
1426438662.733539,34.455215,47.548203,-245.297775
1426438662.753355,33.593842,47.720490,-245.464188
1426438662.773158,33.249283,47.720490,-246.462692
1426438662.793000,33.593842,47.375931,-247.461182
1426438662.812795,31.698807,48.926422,-247.627609
1426438662.832610,29.631485,48.581863,-247.960434
1426438662.852426,29.286942,48.926422,-247.627609
1426438662.872253,29.459213,48.065033,-247.794022
1426438662.892060,29.114655,50.821457,-248.459686
1426438662.911881,28.770111,51.166000,-248.792526
1426438662.931700,29.459213,51.510559,-248.126862
1426438662.951507,28.770111,51.510559,-248.792526
1426438662.971314,29.459213,51.855118,-247.461182
1426438662.991151,30.148315,52.888763,-249.125351
1426438663.010956,28.597824,52.371933,-249.291763
1426438663.030762,30.492874,50.476898,-248.459686
1426438663.050568,29.803772,51.166000,-248.126862
1426438663.070405,29.803772,49.098694,-249.458191
1426438663.090205,29.459213,48.409592,-250.456680
1426438663.110011,30.492874,48.754135,-247.794022
1426438663.129820,31.181976,45.308624,-248.792526
1426438663.149655,31.181976,45.653168,-249.791016
1426438663.169471,33.077011,44.447235,-248.626099
1426438663.189266,31.181976,44.964066,-248.459686
1426438663.209080,34.110672,42.724472,-248.958939
1426438663.228903,33.593842,44.274963,-248.126862
1426438663.248739,36.350250,41.863098,-248.459686
1426438663.268532,38.073013,40.829437,-245.797028
1426438663.288368,38.417572,42.552200,-246.462692
1426438663.308187,38.245300,41.001709,-246.296280
1426438663.328003,38.417572,38.073013,-246.462692
1426438663.347821,39.795776,40.140335,-245.131363
1426438663.367615,39.278946,39.623505,-244.964951
1426438663.387436,39.968063,38.589844,-244.299271
1426438663.407252,38.417572,37.728470,-247.128357
1426438663.427098,39.106674,38.417572,-245.797028
1426438663.446895,39.623505,38.245300,-245.630615
1426438663.466718,38.073013,36.694809,-245.464188
1426438663.486534,38.073013,37.039368,-246.795517
1426438663.506353,37.728470,37.383911,-246.462692
1426438663.526157,37.211639,37.211639,-246.296280
1426438663.545977,37.383911,36.694809,-245.464188
1426438663.565796,36.005707,36.005707,-248.792526
1426438663.585609,36.350250,36.350250,-247.128357
1426438663.606028,35.488876,34.799774,-247.294769
1426438663.625848,33.077011,35.144318,-246.961945
1426438663.645661,34.799774,35.488876,-247.627609
1426438663.665479,33.249283,33.938385,-246.795517
1426438663.685289,35.316605,33.938385,-246.795517
1426438663.705102,35.316605,33.938385,-246.462692
1426438663.724911,34.627502,31.871078,-246.129852
1426438663.744726,35.488876,32.387909,-246.961945
1426438663.764538,34.627502,31.871078,-246.795517
1426438663.784369,34.455215,29.631485,-246.296280
1426438663.804168,34.627502,29.114655,-245.464188
1426438663.823991,36.177979,27.564178,-245.297775
1426438663.843795,33.421570,26.185959,-244.964951
1426438663.863607,34.455215,27.219620,-245.297775
1426438663.883443,34.455215,27.564178,-245.297775
1426438663.903249,33.593842,27.391891,-246.129852
1426438663.923055,34.455215,27.908722,-246.629105
1426438663.942892,35.833435,29.976044,-246.629105
1426438663.962698,36.177979,29.631485,-245.963440
1426438663.982504,38.762131,28.081009,-244.132858
1426438664.002339,38.934402,29.286942,-242.967941
1426438664.022139,39.106674,27.736450,-244.132858
1426438664.041952,39.795776,29.803772,-243.467194
1426438664.061757,39.968063,30.320587,-244.299271
1426438664.081576,39.968063,31.354248,-243.966446
1426438664.101393,39.106674,31.526520,-245.464188
1426438664.121204,37.556198,30.320587,-244.632111
1426438664.141023,37.211639,29.286942,-245.630615
1426438664.160837,35.488876,29.286942,-245.297775
1426438664.180648,37.556198,27.564178,-246.296280
1426438664.200457,37.039368,27.391891,-244.465698
1426438664.220276,36.694809,27.736450,-244.465698
1426438664.240101,36.005707,26.702789,-245.131363
1426438664.259928,35.316605,27.047348,-245.464188
1426438664.279722,34.799774,26.530518,-246.296280
1426438664.299534,35.488876,27.219620,-246.296280
1426438664.319343,34.799774,26.530518,-245.630615
1426438664.339161,36.005707,26.013687,-247.794022
1426438664.358967,33.593842,27.391891,-246.462692
1426438664.378792,34.972046,26.702789,-244.798523
1426438664.398603,34.627502,27.047348,-246.795517
1426438664.418417,33.421570,27.219620,-247.294769
1426438664.438234,31.354248,26.875076,-247.294769
1426438664.458050,31.526520,27.736450,-248.126862
1426438664.477864,30.837418,24.635483,-247.794022
1426438664.497675,31.009705,25.152313,-246.629105
1426438664.517483,30.148315,24.290924,-246.795517
1426438664.537300,31.354248,23.774094,-246.629105
1426438664.557117,31.871078,22.223618,-246.129852
1426438664.576932,31.181976,23.601822,-246.129852
1426438664.596738,31.526520,22.568161,-245.131363
1426438664.617971,34.455215,22.395889,-244.632111
1426438664.637788,35.661148,21.879059,-243.800034
1426438664.657601,36.867081,20.328583,-242.302277
1426438664.677420,36.177979,21.706787,-241.636612
1426438664.697232,38.589844,23.084991,-241.969452
1426438664.717041,38.245300,22.740448,-241.969452
1426438664.736860,37.211639,23.084991,-242.635117
1426438664.756677,38.589844,24.118652,-241.303787
1426438664.776483,38.417572,23.601822,-243.467194
1426438664.796319,38.934402,24.463211,-243.633606
1426438664.816127,38.762131,23.257278,-242.468704
1426438664.835941,38.589844,23.084991,-240.305283
1426438664.855771,39.623505,23.774094,-239.639618
1426438664.875570,39.795776,24.290924,-241.470200
1426438664.895386,38.934402,24.463211,-239.639618
1426438664.915212,38.589844,25.496857,-241.636612
1426438664.935018,38.245300,26.875076,-242.635117
1426438664.954824,37.728470,26.702789,-241.470200
1426438664.974630,37.039368,27.391891,-241.803024
1426438664.994466,38.589844,28.942383,-244.632111
1426438665.014273,38.417572,29.803772,-244.132858
1426438665.034078,37.039368,29.459213,-245.131363
1426438665.053915,36.867081,31.354248,-244.632111
1426438665.073720,37.211639,31.009705,-243.966446
1426438665.093526,35.833435,32.043350,-245.297775
1426438665.113333,36.350250,33.938385,-246.462692
1426438665.133169,34.972046,33.593842,-248.126862
1426438665.152975,35.144318,33.421570,-245.630615
1426438665.172798,35.316605,33.938385,-246.795517
1426438665.192604,36.350250,33.249283,-245.797028
1426438665.212415,34.110672,34.110672,-247.294769
1426438665.232229,33.421570,34.455215,-247.294769
1426438665.252035,32.904739,32.904739,-248.126862
1426438665.271871,31.009705,34.110672,-248.293274
1426438665.291680,31.354248,34.799774,-248.958939
1426438665.311484,31.698807,34.110672,-248.293274
1426438665.331320,33.249283,34.282944,-247.128357
1426438665.351126,32.904739,33.938385,-247.128357
1426438665.370932,34.110672,33.421570,-246.961945
1426438665.390738,33.766113,34.455215,-246.629105
1426438665.410570,34.282944,34.972046,-246.795517
1426438665.430378,34.110672,34.455215,-245.963440
1426438665.450185,35.488876,33.421570,-246.961945
1426438665.470022,34.627502,32.560181,-245.797028
1426438665.489816,34.282944,32.215637,-244.465698
1426438665.509612,34.799774,33.421570,-245.963440
1426438665.529455,36.350250,32.560181,-245.464188
1426438665.549246,36.350250,32.560181,-245.797028
1426438665.569058,36.177979,31.698807,-244.964951
1426438665.588879,34.110672,31.009705,-245.963440
1426438665.608690,33.421570,30.320587,-245.963440
1426438665.626328,35.661148,28.081009,-245.131363
1426438665.646155,33.766113,28.597824,-243.300781
1426438665.665959,35.316605,28.770111,-245.464188
1426438665.685771,33.766113,28.253281,-244.299271
1426438665.705586,34.282944,27.736450,-243.800034
1426438665.725403,32.904739,28.081009,-245.131363
1426438665.745218,33.938385,28.081009,-243.800034
1426438665.765030,32.732452,29.286942,-244.632111
1426438665.784850,33.766113,29.631485,-244.632111
1426438665.804665,31.871078,29.114655,-244.798523
1426438665.824484,31.871078,30.837418,-245.131363
1426438665.844301,33.766113,31.698807,-245.297775
1426438665.864124,33.766113,31.009705,-246.296280
1426438665.883931,33.077011,32.043350,-246.296280
1426438665.903762,32.732452,33.077011,-246.296280
1426438665.923577,33.249283,32.904739,-245.797028
