timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426438695.236497,-0.062046,-0.047519,-0.005169
1426438695.246503,-0.053567,-0.062529,0.000062
1426438695.256509,-0.052527,-0.058214,-0.006316
1426438695.266515,-0.056848,-0.048463,-0.021166
1426438695.276520,-0.064379,-0.052609,-0.028594
1426438695.286526,-0.055036,-0.081308,-0.040445
1426438695.296540,-0.045700,-0.109997,-0.053360
1426438695.306546,-0.053362,-0.137563,-0.061928
1426438695.316548,-0.069547,-0.162930,-0.072576
1426438695.326554,-0.080431,-0.181866,-0.090681
1426438695.336550,-0.053630,-0.131863,-0.101296
1426438695.346556,-0.025124,-0.015136,-0.073378
1426438695.356570,-0.021200,0.057896,-0.027383
1426438695.366576,-0.035945,0.053489,-0.002839
1426438695.376569,-0.063643,0.027936,0.013183
1426438695.386575,-0.084950,0.008777,0.024937
1426438695.396603,-0.109471,-0.001762,0.028218
1426438695.406609,-0.127602,-0.009123,0.029349
1426438695.416604,-0.129760,-0.014436,0.029342
1426438695.426610,-0.113848,-0.016597,0.022868
1426438695.436617,-0.091536,-0.013450,0.014251
1426438695.446623,-0.078792,-0.005977,0.004631
1426438695.456628,-0.076648,0.009001,-0.003847
1426438695.466634,-0.078809,0.012269,-0.010212
1426438695.476648,-0.076805,-0.002592,-0.016658
1426438695.486654,-0.077982,-0.013165,-0.024139
1426438695.496652,-0.076953,-0.018486,-0.025226
1426438695.506658,-0.073749,-0.012084,-0.028415
1426438695.516663,-0.068227,0.027300,-0.029378
1426438695.526669,-0.064707,0.074041,-0.018597
1426438695.536676,-0.062444,0.085652,-0.008989
1426438695.546682,-0.054076,0.060064,-0.011244
1426438695.556688,-0.046843,0.030282,-0.019894
1426438695.566694,-0.050167,0.013311,-0.025255
1426438695.576700,-0.059795,0.001631,-0.023117
1426438695.586706,-0.070489,-0.013259,-0.018854
1426438695.596712,-0.072641,-0.020722,-0.016739
1426438695.606718,-0.070522,-0.019649,-0.018875
1426438695.616724,-0.078912,-0.005825,-0.011336
1426438695.626730,-0.086251,-0.010215,0.006784
1426438695.636735,-0.092664,-0.024083,0.013157
1426438695.646741,-0.106511,-0.032574,0.018521
1426438695.656747,-0.130973,-0.033539,0.022898
1426438695.666753,-0.148997,-0.024955,0.027274
1426438695.676760,-0.157372,-0.006862,0.033762
1426438695.686766,-0.147645,0.003621,0.045458
1426438695.696771,-0.128459,0.001341,0.049613
1426438695.706777,-0.121073,-0.011482,0.049535
1426438695.716782,-0.126474,-0.019931,0.045276
1426438695.726788,-0.131801,-0.014535,0.041062
1426438695.736795,-0.124246,0.011023,0.036850
1426438695.746801,-0.125277,0.028139,0.029459
1426438695.756807,-0.127447,0.024987,0.026266
1426438695.766813,-0.124324,0.006833,0.029385
1426438695.776819,-0.117979,-0.006014,0.032504
1426438695.786825,-0.112556,0.006695,0.036777
1426438695.796835,-0.114387,0.040636,0.052866
1426438695.806841,-0.128930,0.077784,0.075415
1426438695.816824,-0.159529,0.092618,0.102230
1426438695.826830,-0.181780,0.079744,0.125718
1426438695.836844,-0.182981,0.055266,0.124579
1426438695.846850,-0.185308,0.033014,0.113873
1426438695.856860,-0.201433,0.012932,0.107500
1426438695.866866,-0.219505,0.018361,0.107608
1426438695.876884,-0.215076,0.030985,0.121466
1426438695.886890,-0.191485,0.034928,0.140523
1426438695.896896,-0.175413,0.035780,0.153220
1426438695.906902,-0.175324,0.038883,0.162811
1426438695.916897,-0.175173,0.046197,0.177738
1426438695.926903,-0.154728,0.064034,0.193662
1426438695.936923,-0.109752,0.091325,0.208431
1426438695.946929,-0.053137,0.115424,0.215680
1426438695.956912,-0.013683,0.127988,0.214460
1426438695.966918,-0.003107,0.128017,0.204826
1426438695.976944,-0.014913,0.127131,0.193172
1426438695.986950,-0.036311,0.127385,0.179441
1426438695.996935,-0.089893,0.100254,0.153006
1426438696.006941,-0.186264,0.052180,0.115005
1426438696.016962,-0.310251,0.006324,0.084601
1426438696.026968,-0.442573,-0.013983,0.060709
1426438696.036959,-0.561038,-0.034391,0.038878
1426438696.046965,-0.630710,-0.082720,0.011388
1426438696.056986,-0.627149,-0.145114,-0.037803
1426438696.066992,-0.550465,-0.242873,-0.108765
1426438696.076998,-0.443023,-0.366389,-0.177835
1426438696.087004,-0.353321,-0.447374,-0.228581
1426438696.097005,-0.277775,-0.414511,-0.258657
1426438696.107011,-0.201623,-0.275208,-0.282000
1426438696.117022,-0.101771,-0.059199,-0.322242
1426438696.127028,0.055421,0.154532,-0.381939
1426438696.137032,0.259636,0.256547,-0.482689
1426438696.147038,0.438302,0.359774,-0.583308
1426438696.157045,0.558245,0.383139,-0.649830
1426438696.167051,0.604270,0.308866,-0.707788
1426438696.177058,0.583916,0.166824,-0.766702
1426438696.187064,0.532442,0.001680,-0.841504
1426438696.197068,0.485481,-0.105917,-0.922528
1426438696.207074,0.449838,-0.117938,-0.980939
1426438696.217080,0.414820,-0.070714,-0.997643
1426438696.227086,0.382282,-0.016442,-0.972818
1426438696.237086,0.361814,0.059824,-0.916046
1426438696.247092,0.333313,0.171974,-0.819728
1426438696.257105,0.249588,0.274615,-0.697617
1426438696.267111,0.104910,0.306109,-0.560531
1426438696.277117,-0.050728,0.267303,-0.416170
1426438696.287123,-0.152171,0.218671,-0.279563
1426438696.297129,-0.170605,0.204989,-0.173062
1426438696.307135,-0.113532,0.224222,-0.101960
1426438696.317142,-0.007530,0.275395,-0.059739
1426438696.327148,0.088027,0.378906,-0.026875
1426438696.337154,0.118962,0.535980,0.012873
1426438696.347160,0.075826,0.727208,0.090362
1426438696.357164,-0.045676,0.946226,0.205591
1426438696.367170,-0.222651,1.134606,0.328447
1426438696.377184,-0.375707,1.221721,0.445530
1426438696.387190,-0.412149,1.234829,0.545822
1426438696.397179,-0.242336,1.228907,0.617344
1426438696.407185,0.119843,1.246978,0.624115
1426438696.417208,0.508618,1.335682,0.578822
1426438696.427214,0.747698,1.492243,0.545143
1426438696.437197,0.723169,1.647617,0.573452
1426438696.447203,0.436427,1.705159,0.633620
1426438696.457217,-0.038773,1.602173,0.665457
1426438696.467223,-0.599242,1.324239,0.666275
1426438696.477242,-1.072576,0.991347,0.681382
1426438696.487248,-1.324836,0.747458,0.722293
1426438696.497249,-1.354758,0.625552,0.792302
1426438696.507255,-1.233584,0.600185,0.922553
1426438696.517261,-1.051101,0.629434,1.096324
1426438696.527267,-0.881506,0.654608,1.258435
1426438696.537273,-0.773216,0.595144,1.398220
1426438696.547279,-0.680633,0.427429,1.506856
1426438696.557284,-0.541945,0.199276,1.558645
1426438696.567290,-0.368366,-0.048067,1.591034
1426438696.577296,-0.225962,-0.227583,1.678093
1426438696.587302,-0.160718,-0.241467,1.867210
1426438696.597308,-0.114894,-0.080708,2.183677
1426438696.607314,-0.035578,0.231211,2.600538
1426438696.617307,0.034146,0.526044,3.028037
1426438696.627313,-0.006732,0.740140,3.388756
1426438696.637332,-0.075820,0.839550,3.618302
1426438696.647338,-0.097345,0.791992,3.479863
1426438696.657344,-0.059121,0.717671,3.094066
1426438696.667350,0.029520,0.623561,2.630242
1426438696.677356,0.086896,0.421840,2.189640
1426438696.687362,0.119263,0.027944,1.813471
1426438696.697362,0.232094,-0.392913,1.535814
1426438696.707368,0.461190,-0.692756,1.342073
1426438696.717389,0.713353,-0.859613,1.149717
1426438696.727395,0.876499,-0.875326,0.909331
1426438696.737400,0.909742,-0.776642,0.590127
1426438696.747406,0.885877,-0.551614,0.235428
1426438696.757412,0.793137,-0.310526,-0.085875
1426438696.767418,0.604360,-0.196199,-0.346436
1426438696.777402,0.289052,-0.204649,-0.498186
1426438696.787408,-0.067455,-0.351572,-0.510730
1426438696.797422,-0.299703,-0.661768,-0.453104
1426438696.807428,-0.345019,-0.991758,-0.444379
1426438696.817439,-0.236972,-1.176879,-0.531751
1426438696.827445,-0.041504,-1.184680,-0.727561
1426438696.837440,0.185869,-1.089696,-0.999841
1426438696.847446,0.394160,-0.967907,-1.279389
1426438696.857464,0.569665,-0.877298,-1.507778
1426438696.867470,0.701143,-0.760505,-1.662408
1426438696.877476,0.774724,-0.576676,-1.775014
1426438696.887482,0.760960,-0.428746,-1.867075
1426438696.897494,0.624481,-0.401987,-1.909953
1426438696.907500,0.415747,-0.458620,-1.875033
1426438696.917482,0.278314,-0.397959,-1.785793
1426438696.927488,0.296272,-0.203305,-1.657500
1426438696.937503,0.389598,0.019879,-1.439003
1426438696.947509,0.432785,0.122328,-1.149328
1426438696.957521,0.396829,0.010460,-0.898285
1426438696.967527,0.289715,-0.326894,-0.748757
1426438696.977542,0.202480,-0.751561,-0.726294
1426438696.987548,0.211949,-0.980627,-0.723898
1426438696.997559,0.381004,-1.039192,-0.716416
1426438697.007565,0.619776,-0.994810,-0.713202
1426438697.017560,0.627162,-0.919190,-0.492632
1426438697.027566,0.465889,-0.804003,-0.073087
1426438697.037558,0.268943,-0.758691,0.324051
1426438697.047564,0.058289,-0.886606,0.576978
1426438697.057584,-0.073632,-0.906619,0.746831
1426438697.067590,-0.117634,-0.694196,0.836103
1426438697.077596,-0.216447,-0.305264,0.877258
1426438697.087602,-0.471352,0.191240,0.901446
1426438697.097607,-0.939767,0.707639,0.979991
1426438697.107613,-1.565697,1.105860,1.150483
1426438697.117620,-2.064464,1.274687,1.398366
1426438697.127626,-2.187597,1.189955,1.648868
1426438697.137640,-2.010683,0.977525,1.816552
1426438697.147646,-1.753674,0.788188,1.858297
1426438697.157644,-1.504534,0.695907,1.777977
1426438697.167650,-1.293973,0.647045,1.635184
1426438697.177643,-1.080764,0.655406,1.521308
1426438697.187649,-0.850659,0.752559,1.468317
1426438697.197677,-0.628809,0.878374,1.430365
1426438697.207683,-0.454105,0.970530,1.376569
1426438697.217676,-0.330310,0.925772,1.303417
1426438697.227682,-0.173327,0.766151,1.192464
1426438697.237692,0.117893,0.659263,1.054401
1426438697.247698,0.514493,0.665172,0.974733
1426438697.257703,0.866469,0.712760,1.019974
1426438697.267709,1.061653,0.761328,1.170325
1426438697.277716,1.081847,0.855060,1.382375
1426438697.287722,0.964876,0.945059,1.622774
1426438697.297727,0.729612,0.864611,1.827010
1426438697.307733,0.458359,0.593813,1.909444
1426438697.317740,0.373134,0.287214,1.834346
1426438697.327746,0.638134,0.157731,1.623951
1426438697.337752,1.177460,0.263801,1.339509
1426438697.347758,1.761028,0.535849,1.158649
1426438697.357748,2.174270,0.888973,1.068326
1426438697.367754,2.278006,1.299208,0.985055
1426438697.377775,2.002002,1.566704,0.911724
1426438697.387781,1.396667,1.340674,0.857580
1426438697.397788,0.744047,0.741581,0.863127
1426438697.407794,0.421639,0.122181,0.898899
1426438697.417800,0.507150,-0.194454,0.879338
1426438697.427806,0.719874,-0.146082,0.814564
1426438697.437811,0.664279,0.119060,0.742257
1426438697.447817,0.247141,0.384623,0.734560
1426438697.457826,-0.290528,0.433520,0.849177
1426438697.467832,-0.719439,0.181681,1.050622
1426438697.477842,-0.908495,-0.284976,1.295943
1426438697.487848,-0.734595,-0.809050,1.421104
1426438697.497836,-0.273666,-1.160264,1.223910
1426438697.507842,0.211613,-1.092259,0.718188
1426438697.517847,0.493072,-0.656123,0.040103
1426438697.527853,0.550548,0.008532,-0.563728
1426438697.537875,0.526380,0.759526,-0.899669
1426438697.547881,0.431094,1.497246,-0.914874
1426438697.557894,0.145709,1.988867,-0.693610
1426438697.567900,-0.348058,2.075252,-0.290600
1426438697.577883,-0.851044,1.850598,0.234923
1426438697.587889,-1.128746,1.539435,0.760105
1426438697.597907,-1.121687,1.264898,1.179663
1426438697.607913,-0.919963,1.095605,1.500658
1426438697.617920,-0.664295,1.169544,1.746599
1426438697.627926,-0.516226,1.565533,1.903646
1426438697.637932,-0.667559,2.016045,1.997427
1426438697.647938,-1.056433,2.169486,2.003061
1426438697.657931,-1.387506,1.920991,1.903830
1426438697.667937,-1.440331,1.392249,1.760777
