timestamp,x (in G's),y (in G's),z (in G's)
1426438715.568078,0.058029,-0.255127,-0.977921
1426438715.577905,0.061798,-0.248642,-0.968399
1426438715.587718,0.058960,-0.249817,-0.954926
1426438715.597563,0.061874,-0.254913,-0.949265
1426438715.607386,0.064178,-0.257782,-0.954559
1426438715.617212,0.057602,-0.251785,-0.958878
1426438715.627037,0.045197,-0.244843,-0.963272
1426438715.636864,0.034424,-0.243271,-0.971771
1426438715.646687,0.038712,-0.243134,-0.968674
1426438715.656513,0.049530,-0.250305,-0.962662
1426438715.666347,0.058746,-0.260162,-0.957840
1426438715.676163,0.063660,-0.268906,-0.961411
1426438715.685989,0.076508,-0.271851,-0.965607
1426438715.695814,0.081757,-0.271393,-0.959991
1426438715.705638,0.080597,-0.270386,-0.953934
1426438715.715465,0.081146,-0.271393,-0.948761
1426438715.725290,0.081985,-0.273254,-0.956512
1426438715.735114,0.084976,-0.266312,-0.977249
1426438715.744945,0.081635,-0.255295,-0.980865
1426438715.754766,0.068893,-0.244446,-0.975098
1426438715.764595,0.059601,-0.239334,-0.962189
1426438715.774418,0.061859,-0.240921,-0.954712
1426438715.784247,0.069595,-0.247681,-0.951691
1426438715.794078,0.068909,-0.255554,-0.958832
1426438715.803906,0.067001,-0.254608,-0.956543
1426438715.813724,0.064926,-0.251450,-0.946579
1426438715.823551,0.064941,-0.252411,-0.935593
1426438715.833375,0.069122,-0.263611,-0.937042
1426438715.843202,0.076523,-0.274231,-0.937897
1426438715.853026,0.082993,-0.273148,-0.942505
1426438715.862851,0.079559,-0.264694,-0.942184
1426438715.872677,0.077667,-0.257370,-0.939133
1426438715.882490,0.079803,-0.265579,-0.939026
1426438715.892327,0.086914,-0.272202,-0.946869
1426438715.902142,0.089813,-0.268661,-0.951630
1426438715.911985,0.090195,-0.261826,-0.959412
1426438715.921812,0.092987,-0.263931,-0.960587
1426438715.931608,0.090439,-0.268768,-0.959518
1426438715.941456,0.089996,-0.268906,-0.954865
1426438715.951281,0.089310,-0.270935,-0.950699
