timestamp,x (in G's),y (in G's),z (in G's)
1426437951.555733,0.041245,-0.316803,-0.958145
1426437951.565549,0.029999,-0.319382,-0.947510
1426437951.575380,0.024963,-0.317383,-0.938095
1426437951.585188,0.024612,-0.315063,-0.939590
1426437951.595030,0.020554,-0.313263,-0.944962
1426437951.604845,0.015854,-0.307404,-0.948303
1426437951.614681,0.015549,-0.305405,-0.944778
1426437951.624517,0.012009,-0.309799,-0.953766
1426437951.634337,0.015091,-0.311951,-0.960526
1426437951.644153,0.016724,-0.307770,-0.967743
1426437951.653990,0.021454,-0.304977,-0.967102
1426437951.663817,0.014511,-0.310608,-0.966064
1426437951.673642,0.016464,-0.313751,-0.970001
1426437951.683471,0.018875,-0.303345,-0.974670
1426437951.693298,0.031967,-0.291458,-0.971359
1426437951.703115,0.039764,-0.292114,-0.957123
1426437951.712942,0.040497,-0.303329,-0.935822
1426437951.722757,0.039825,-0.317276,-0.925507
1426437951.732595,0.039688,-0.316833,-0.926865
1426437951.742422,0.039261,-0.306915,-0.928406
1426437951.752256,0.040741,-0.298798,-0.936478
1426437951.762071,0.043121,-0.298035,-0.939835
1426437951.771902,0.044159,-0.297333,-0.942841
1426437951.781719,0.043167,-0.294464,-0.937485
1426437951.791568,0.038101,-0.297272,-0.928177
1426437951.801392,0.041565,-0.308578,-0.933289
1426437951.811206,0.047638,-0.313675,-0.955475
1426437951.821046,0.049530,-0.309952,-0.967239
1426437951.830853,0.046066,-0.298401,-0.962967
1426437951.840698,0.038757,-0.297836,-0.956635
1426437951.850512,0.041000,-0.307800,-0.944122
1426437951.860343,0.048508,-0.310654,-0.931274
1426437951.870180,0.046967,-0.310730,-0.918167
1426437951.879983,0.048126,-0.313828,-0.919800
1426437951.889815,0.043030,-0.319885,-0.937576
1426437951.899642,0.038193,-0.314438,-0.947220
1426437951.909468,0.038116,-0.303421,-0.949539
1426437951.919295,0.037064,-0.302780,-0.949692
1426437951.929139,0.041519,-0.303833,-0.945053
1426437951.938946,0.040497,-0.308975,-0.936111
1426437951.948772,0.043457,-0.318344,-0.937027
1426437951.958599,0.037903,-0.321533,-0.938034
1426437951.968426,0.035324,-0.318008,-0.942245
1426437951.978252,0.035538,-0.313751,-0.938126
1426437951.988079,0.037704,-0.316467,-0.941681
1426437951.997905,0.041107,-0.325195,-0.940552
1426437952.007737,0.043320,-0.328308,-0.933441
1426437952.017565,0.039642,-0.333466,-0.929337
1426437952.027395,0.039505,-0.331680,-0.935791
1426437952.037220,0.041809,-0.332443,-0.941589
1426437952.047048,0.039337,-0.332092,-0.941040
1426437952.056880,0.036392,-0.333084,-0.948318
1426437952.066687,0.032333,-0.334167,-0.952835
1426437952.076523,0.025955,-0.332504,-0.954483
1426437952.086355,0.019531,-0.329849,-0.950226
1426437952.096178,0.012756,-0.330933,-0.955353
1426437952.106005,0.012192,-0.335159,-0.961121
1426437952.115830,0.012360,-0.337738,-0.958328
1426437952.125645,0.005341,-0.337662,-0.947845
1426437952.135484,-0.006897,-0.334869,-0.942612
1426437952.145300,-0.005692,-0.325546,-0.941971
1426437952.155139,-0.000168,-0.322296,-0.948318
1426437952.164979,0.005981,-0.322266,-0.955322
1426437952.174794,0.016846,-0.321487,-0.959427
1426437952.184621,0.023407,-0.323441,-0.955902
1426437952.194445,0.034973,-0.322067,-0.952087
1426437952.204277,0.043396,-0.320786,-0.944855
