timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426437951.688867,-0.045726,0.017344,-0.003973
1426437951.698864,-0.026614,0.016229,-0.010460
1426437951.708870,-0.002324,0.001330,-0.026598
1426437951.718883,0.016796,0.000206,-0.032019
1426437951.728889,0.020172,0.014966,-0.018149
1426437951.738892,0.005441,0.022334,0.000046
1426437951.748898,-0.016905,0.012797,0.008642
1426437951.758903,-0.041587,-0.014691,0.002288
1426437951.768909,-0.067350,-0.042153,-0.006190
1426437951.778916,-0.090859,-0.053703,-0.009304
1426437951.788922,-0.103575,-0.041915,-0.009202
1426437951.798927,-0.101301,-0.020667,-0.004886
1426437951.808933,-0.090567,-0.024055,0.008889
1426437951.818939,-0.077783,-0.048796,0.026841
1426437951.828945,-0.071490,-0.077658,0.034167
1426437951.838950,-0.079089,-0.097800,0.028816
1426437951.848956,-0.094090,-0.105098,0.021415
1426437951.858962,-0.103734,-0.113543,0.019307
1426437951.868968,-0.109090,-0.116687,0.017194
1426437951.878966,-0.112187,-0.099639,0.018330
1426437951.888972,-0.115263,-0.087976,0.025835
1426437951.898985,-0.116237,-0.085941,0.036492
1426437951.908991,-0.114025,-0.076409,0.040770
1426437951.918996,-0.105566,-0.075312,0.032215
1426437951.929002,-0.096099,-0.080581,0.020441
1426437951.939008,-0.090772,-0.067751,0.011940
1426437951.949014,-0.085253,-0.030506,0.012035
1426437951.959020,-0.076503,0.001314,0.020612
1426437951.969026,-0.066781,0.017163,0.028067
1426437951.979031,-0.057173,0.023508,0.026975
1426437951.989037,-0.047643,0.025664,0.018419
1426437951.999043,-0.044520,0.018231,0.014121
1426437952.009049,-0.048843,0.007615,0.013043
1426437952.019055,-0.059484,0.001236,0.018398
1426437952.029061,-0.075470,-0.006157,0.021647
1426437952.039065,-0.087237,-0.024246,0.026969
1426437952.049071,-0.095837,-0.044462,0.030139
1426437952.059078,-0.104439,-0.060388,0.030130
1426437952.069084,-0.108745,-0.067808,0.029062
1426437952.079090,-0.105547,-0.065687,0.027989
1426437952.089096,-0.095986,-0.066786,0.025808
1426437952.099100,-0.080100,-0.075348,0.020379
1426437952.109106,-0.063252,-0.102010,0.013820
1426437952.119112,-0.054919,-0.126483,0.006246
1426437952.129118,-0.059251,-0.132798,0.000925
1426437952.139124,-0.072969,-0.106073,-0.001048
1426437952.149130,-0.080208,-0.059130,-0.005117
1426437952.159135,-0.070419,-0.009059,-0.012453
1426437952.169141,-0.038308,0.025922,-0.014628
1426437952.179150,0.005440,0.040561,-0.012669
1426437952.189156,0.042710,0.034981,-0.008615
1426437952.199171,0.056474,0.023207,-0.010851
1426437952.209177,0.052077,0.003037,-0.015153
1426437952.219177,0.030652,-0.017046,-0.018306
1426437952.229183,0.001802,-0.031760,-0.021404
1426437952.239177,-0.024849,-0.034781,-0.023410
1426437952.249183,-0.039700,-0.027261,-0.021182
1426437952.259197,-0.037499,-0.016643,-0.019029
1426437952.269203,-0.018327,-0.009258,-0.023359
1426437952.279217,0.008250,-0.005070,-0.031994
1426437952.289223,0.033785,-0.004122,-0.035312
1426437952.299206,0.048712,0.001127,-0.036433
1426437952.309212,0.051887,0.009710,-0.044937
1426437952.319227,0.046544,0.029062,-0.060815
1426437952.329233,0.044454,0.050466,-0.070316
