timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426438009.985733,27.736450,41.863098,-248.126862
1426438010.005540,28.081009,41.518539,-248.792526
1426438010.025346,27.564178,41.690811,-248.626099
1426438010.045152,28.425552,42.896744,-248.459686
1426438010.064963,28.253281,44.102692,-248.958939
1426438010.084763,26.702789,41.518539,-249.791016
1426438010.104568,26.185959,42.379929,-248.626099
1426438010.124406,29.114655,41.518539,-249.125351
1426438010.144210,27.219620,42.379929,-247.960434
1426438010.164042,26.530518,42.379929,-248.293274
1426438010.183854,26.702789,42.207642,-249.125351
1426438010.203659,27.736450,42.552200,-247.461182
1426438010.223475,28.081009,43.585861,-249.791016
1426438010.243272,28.081009,43.930405,-249.458191
1426438010.263093,28.253281,43.069031,-247.960434
1426438010.282913,27.564178,41.690811,-248.293274
1426438010.302724,27.047348,41.863098,-248.126862
1426438010.322525,28.425552,42.896744,-249.458191
1426438010.342361,27.391891,42.207642,-248.459686
1426438010.362177,26.530518,43.758133,-249.291763
1426438010.381974,27.219620,43.413574,-250.290268
1426438010.401780,28.253281,43.069031,-251.954437
1426438010.421584,27.219620,43.413574,-248.958939
1426438010.441391,27.047348,43.585861,-249.125351
1426438010.461205,26.875076,42.379929,-249.624603
1426438010.481032,27.736450,43.585861,-248.792526
1426438010.500866,27.219620,41.346268,-248.293274
1426438010.520654,26.875076,43.413574,-249.291763
1426438010.540462,26.702789,42.207642,-249.791016
1426438010.560299,26.358246,43.241302,-248.459686
1426438010.580087,26.530518,44.102692,-248.958939
1426438010.599899,28.081009,43.241302,-248.792526
1426438010.619711,27.047348,42.207642,-250.123856
1426438010.639517,27.564178,43.758133,-249.291763
1426438010.659327,26.358246,43.241302,-249.458191
1426438010.679147,27.047348,43.241302,-249.125351
1426438010.698961,27.564178,43.069031,-249.624603
1426438010.718770,26.875076,42.035370,-249.624603
1426438010.738574,27.564178,43.069031,-249.624603
1426438010.758389,27.564178,43.413574,-249.291763
1426438010.778198,27.736450,43.241302,-248.459686
1426438010.798007,26.530518,42.379929,-249.291763
1426438010.817817,28.081009,41.863098,-249.458191
1426438010.837624,29.976044,42.379929,-249.624603
1426438010.857433,27.908722,41.346268,-249.624603
1426438010.877245,28.253281,41.346268,-250.290268
1426438010.897050,29.803772,40.829437,-248.459686
1426438010.916860,30.492874,40.140335,-250.123856
1426438010.936672,30.837418,37.383911,-248.792526
1426438010.956483,30.492874,34.972046,-248.126862
1426438010.976290,31.698807,35.144318,-248.293274
1426438010.996547,32.215637,36.005707,-246.795517
1426438011.016356,31.009705,36.522537,-246.629105
1426438011.036164,33.766113,35.144318,-246.629105
1426438011.055972,34.110672,36.522537,-247.627609
1426438011.075773,33.938385,39.451233,-248.126862
1426438011.095571,33.249283,40.484879,-247.794022
1426438011.115382,31.698807,39.623505,-247.294769
1426438011.135179,32.560181,40.484879,-246.129852
1426438011.155001,31.526520,40.829437,-248.126862
1426438011.174817,31.871078,40.140335,-247.794022
1426438011.194627,33.421570,41.346268,-246.296280
1426438011.214433,32.732452,40.657166,-247.960434
1426438011.234238,31.354248,41.346268,-248.958939
1426438011.254045,29.976044,42.035370,-249.624603
1426438011.273835,30.148315,41.173996,-249.458191
1426438011.293632,29.803772,42.896744,-248.792526
1426438011.313462,30.492874,41.518539,-247.461182
1426438011.333263,30.492874,41.173996,-248.792526
1426438011.353073,31.181976,40.484879,-249.458191
1426438011.372880,31.009705,40.657166,-246.961945
1426438011.392689,33.249283,41.173996,-247.128357
1426438011.412496,35.488876,42.724472,-245.630615
1426438011.432299,36.522537,42.035370,-245.963440
1426438011.452106,36.005707,42.552200,-245.797028
1426438011.471913,35.144318,42.724472,-245.297775
1426438011.491717,35.488876,44.102692,-246.296280
1426438011.511526,36.350250,41.863098,-245.464188
1426438011.531339,36.522537,40.657166,-244.299271
1426438011.551160,38.934402,40.312607,-243.633606
1426438011.570961,39.106674,40.140335,-242.801529
