timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433258.544951,0.054242,0.008339,-0.014082
1426433258.554957,0.009444,0.008698,-0.024503
1426433258.564951,-0.015066,0.021730,-0.036048
1426433258.574957,-0.014040,0.028205,-0.045613
1426433258.584971,0.009434,0.045161,-0.050997
1426433258.594977,0.041477,0.067362,-0.053213
1426433258.604992,0.070347,0.094917,-0.056460
1426433258.614998,0.091734,0.113975,-0.057569
1426433258.625000,0.105579,0.105314,-0.051279
1426433258.635006,0.103376,0.070040,-0.036480
1426433258.645010,0.079763,0.026459,-0.031182
1426433258.655016,0.036992,-0.006301,-0.032141
1426433258.665022,-0.001453,-0.018800,-0.038378
1426433258.675028,-0.018536,-0.015426,-0.046798
1426433258.685036,-0.019621,-0.010034,-0.053162
1426433258.695042,-0.004724,-0.005819,-0.057481
1426433258.705048,0.014463,-0.004885,-0.055444
1426433258.715054,0.041153,-0.005129,-0.045997
1426433258.725061,0.069856,-0.024535,-0.038752
1426433258.735067,0.089917,-0.059816,-0.036838
1426433258.745074,0.083393,-0.081049,-0.040069
1426433258.755080,0.049396,-0.071299,-0.036674
1426433258.765088,0.003776,-0.047656,-0.031047
1426433258.775094,-0.032310,-0.024008,-0.031854
1426433258.785100,-0.045965,0.010142,-0.030609
1426433258.795106,-0.032942,0.046207,-0.023104
1426433258.805114,-0.004074,0.056611,-0.014698
1426433258.815120,0.029941,0.045765,-0.014903
1426433258.825127,0.055352,0.027574,-0.021476
1426433258.835133,0.060583,0.019084,-0.027917
1426433258.845139,0.045738,0.020164,-0.020388
1426433258.855145,0.018078,0.006357,-0.007521
1426433258.865152,-0.016118,-0.023308,-0.003190
1426433258.875158,-0.044970,-0.036947,-0.007349
1426433258.885164,-0.064126,-0.030416,-0.010425
1426433258.895170,-0.065132,-0.020835,-0.009325
1426433258.905178,-0.054564,-0.028301,-0.014724
1426433258.915184,-0.042920,-0.033643,-0.020123
1426433258.925191,-0.036528,-0.028324,-0.023331
1426433258.935197,-0.035425,-0.024090,-0.021193
1426433258.945204,-0.039711,-0.029391,-0.021189
1426433258.955210,-0.042016,-0.047382,-0.031882
1426433258.965217,-0.045404,-0.067488,-0.043641
1426433258.975223,-0.050730,-0.066382,-0.044675
1426433258.985229,-0.050631,-0.053642,-0.040376
1426433258.995235,-0.044120,-0.040970,-0.032915
1426433259.005243,-0.038739,-0.037856,-0.027609
1426433259.015249,-0.041995,-0.038832,-0.035048
1426433259.025256,-0.048392,-0.031280,-0.041378
1426433259.035262,-0.051519,-0.015266,-0.043439
1426433259.045268,-0.045024,-0.005789,-0.035989
1426433259.055274,-0.031161,-0.015544,-0.026509
1426433259.065269,-0.020641,-0.036885,-0.028761
1426433259.075275,-0.021768,-0.041089,-0.034091
1426433259.085298,-0.028116,-0.027166,-0.038272
1426433259.095304,-0.033399,-0.013250,-0.042459
1426433259.105307,-0.025890,0.008078,-0.049878
1426433259.115313,-0.007792,0.019769,-0.058446
1426433259.125315,0.017684,0.007928,-0.060741
1426433259.135321,0.033573,-0.012430,-0.057693
1426433259.145334,0.036753,-0.024224,-0.051360
1426433259.155340,0.030361,-0.029542,-0.048152
1426433259.165337,0.022842,-0.035849,-0.052394
1426433259.175343,0.013203,-0.038938,-0.057678
1426433259.185342,-0.002825,-0.045206,-0.060813
1426433259.195348,-0.018834,-0.046138,-0.064994
1426433259.205373,-0.028465,-0.049238,-0.069214
1426433259.215379,-0.025238,-0.035361,-0.074508
1426433259.225397,-0.015513,-0.006651,-0.075527
1426433259.235403,-0.001509,0.024155,-0.075496
1426433259.245389,0.015577,0.033642,-0.075550
1426433259.255395,0.031457,0.020800,-0.078864
1426433259.265412,0.041958,0.000554,-0.084306
1426433259.275418,0.041881,-0.011140,-0.086473
1426433259.285426,0.031262,-0.002539,-0.088521
1426433259.295432,0.017452,0.008221,-0.091610
1426433259.305438,0.008873,0.007276,-0.099022
1426433259.315444,0.006585,-0.007521,-0.109705
1426433259.325451,0.014923,-0.026638,-0.120455
1426433259.335457,0.027501,-0.044685,-0.134415
1426433259.345465,0.046539,-0.052139,-0.146245
1426433259.355471,0.065637,-0.054309,-0.153799
1426433259.365477,0.083684,-0.055417,-0.160279
1426433259.375483,0.092262,-0.046966,-0.158165
1426433259.385490,0.088093,-0.040623,-0.150672
1426433259.395496,0.063759,-0.027813,-0.138799
1426433259.405504,0.030872,-0.027775,-0.122667
1426433259.415510,-0.002175,-0.052191,-0.110872
1426433259.425516,-0.039554,-0.087213,-0.101220
1426433259.435522,-0.079159,-0.128531,-0.100093
1426433259.445529,-0.121050,-0.188937,-0.106470
1426433259.455535,-0.156553,-0.238658,-0.120295
1426433259.465543,-0.181469,-0.286219,-0.143746
1426433259.475549,-0.192494,-0.316770,-0.172534
1426433259.485556,-0.196911,-0.306897,-0.200158
1426433259.495562,-0.202140,-0.259814,-0.220203
1426433259.505569,-0.201849,-0.193714,-0.227440
1426433259.515575,-0.198301,-0.130927,-0.224058
1426433259.525582,-0.196767,-0.055410,-0.214238
1426433259.535588,-0.192055,0.023325,-0.208681
1426433259.545595,-0.174743,0.074337,-0.207535
1426433259.555601,-0.151163,0.097592,-0.203318
1426433259.565609,-0.123424,0.089856,-0.190707
1426433259.575615,-0.095815,0.047980,-0.171820
1426433259.585620,-0.075729,-0.005559,-0.153999
1426433259.595626,-0.063026,-0.047349,-0.135037
1426433259.605630,-0.064133,-0.078380,-0.119166
1426433259.615636,-0.074752,-0.091220,-0.106380
1426433259.625645,-0.082155,-0.103034,-0.091479
1426433259.635651,-0.087439,-0.106269,-0.084011
1426433259.645670,-0.088405,-0.082803,-0.087123
1426433259.655676,-0.079868,-0.059290,-0.100927
1426433259.665659,-0.060778,-0.050729,-0.116963
1426433259.675665,-0.037351,-0.038003,-0.125554
1426433259.685679,-0.011683,-0.017925,-0.124552
1426433259.695685,0.013044,0.018084,-0.118170
1426433259.705696,0.037798,0.066923,-0.117068
1426433259.715702,0.065703,0.110438,-0.118129
1426433259.725718,0.093561,0.139004,-0.114981
1426433259.735724,0.121331,0.149454,-0.110827
1426433259.745726,0.141728,0.167351,-0.101289
1426433259.755732,0.161129,0.204466,-0.095941
1426433259.765739,0.186965,0.256493,-0.094835
1426433259.775745,0.226647,0.306291,-0.091676
1426433259.785752,0.275964,0.353823,-0.080056
1426433259.795758,0.332721,0.389536,-0.062125
1426433259.805764,0.386255,0.409222,-0.036778
1426433259.815770,0.431219,0.406511,-0.002946
1426433259.825778,0.456968,0.379314,0.041547
1426433259.835784,0.453942,0.339452,0.091465
1426433259.845803,0.420044,0.297617,0.143659
1426433259.855813,0.359481,0.251706,0.192779
1426433259.865815,0.277639,0.210187,0.240955
1426433259.875821,0.189501,0.183595,0.291341
1426433259.885821,0.110964,0.170863,0.334272
1426433259.895827,0.052614,0.169862,0.363302
1426433259.905835,0.013386,0.169876,0.385853
1426433259.915841,-0.011073,0.149610,0.404006
1426433259.925847,-0.018630,0.106901,0.419871
1426433259.935853,-0.016625,0.055587,0.438855
1426433259.945861,-0.022176,-0.010564,0.454634
1426433259.955867,-0.045969,-0.091440,0.461939
1426433259.965874,-0.092230,-0.169906,0.453396
1426433259.975880,-0.152563,-0.263009,0.424649
1426433259.985887,-0.206839,-0.382532,0.370237
1426433259.995893,-0.246294,-0.503104,0.305101
1426433260.005899,-0.289688,-0.577957,0.250781
1426433260.015905,-0.359923,-0.544366,0.233144
1426433260.025907,-0.456919,-0.380989,0.248002
1426433260.035913,-0.559789,-0.133532,0.272745
1426433260.045934,-0.641466,0.112859,0.284605
1426433260.055940,-0.674591,0.310191,0.273707
1426433260.065947,-0.652906,0.421071,0.248413
1426433260.075953,-0.572050,0.434623,0.229957
1426433260.085953,-0.445980,0.350002,0.203503
1426433260.095959,-0.293783,0.199380,0.157540
1426433260.105965,-0.152323,0.050006,0.098861
1426433260.115971,-0.053308,-0.060712,0.033067
1426433260.125969,-0.009278,-0.112628,-0.022678
1426433260.135975,-0.011568,-0.090972,-0.058790
1426433260.145979,-0.035894,-0.017063,-0.088234
1426433260.155985,-0.062179,0.080228,-0.111204
1426433260.166014,-0.082986,0.168715,-0.107616
1426433260.176020,-0.093095,0.223842,-0.074385
1426433260.186015,-0.092679,0.234037,-0.026449
1426433260.196021,-0.089337,0.196308,0.019186
1426433260.206035,-0.081002,0.117156,0.049756
1426433260.216041,-0.064335,0.025326,0.064276
1426433260.226027,-0.039222,-0.063246,0.067054
1426433260.236033,-0.004480,-0.140138,0.067694
1426433260.246046,0.030363,-0.191430,0.064158
1426433260.256052,0.061146,-0.209712,0.063945
1426433260.266063,0.081440,-0.206694,0.070241
1426433260.276069,0.093317,-0.187673,0.078760
1426433260.286085,0.096716,-0.157932,0.085228
1426433260.296091,0.091497,-0.130161,0.080022
1426433260.306095,0.078713,-0.105420,0.062070
1426433260.316101,0.062623,-0.091240,0.036648
1426433260.326110,0.057988,-0.104676,-0.003826
1426433260.336116,0.064896,-0.142624,-0.049760
1426433260.346122,0.078115,-0.195518,-0.095774
1426433260.356128,0.084969,-0.245191,-0.140681
1426433260.366135,0.085539,-0.276732,-0.184434
1426433260.376141,0.075641,-0.281638,-0.222724
1426433260.386152,0.053193,-0.241730,-0.261869
1426433260.396158,0.029862,-0.165596,-0.301956
1426433260.406161,0.016269,-0.066127,-0.337756
1426433260.416167,0.022883,0.018244,-0.366255
1426433260.426174,0.048434,0.058840,-0.394992
1426433260.436180,0.090695,0.045074,-0.429313
1426433260.446187,0.137998,-0.017682,-0.467014
1426433260.456193,0.174558,-0.101697,-0.502601
1426433260.466200,0.195147,-0.188836,-0.535990
1426433260.476206,0.175417,-0.242686,-0.573327
1426433260.486214,0.113534,-0.231448,-0.597466
1426433260.496220,0.031976,-0.157542,-0.591494
1426433260.506226,-0.052258,-0.019951,-0.560817
1426433260.516232,-0.116942,0.170648,-0.516224
1426433260.526240,-0.134779,0.360978,-0.471865
1426433260.536246,-0.094485,0.482903,-0.437601
1426433260.546253,-0.007939,0.500248,-0.410298
1426433260.556259,0.100453,0.422701,-0.385543
1426433260.566266,0.205223,0.265307,-0.362096
1426433260.576272,0.274443,0.040026,-0.346147
1426433260.586279,0.288312,-0.177451,-0.333090
1426433260.596285,0.246021,-0.347773,-0.316405
1426433260.606293,0.172015,-0.480678,-0.295181
1426433260.616299,0.088786,-0.538937,-0.277924
1426433260.626306,0.010441,-0.484371,-0.256064
1426433260.636312,-0.076656,-0.302153,-0.212451
1426433260.646317,-0.185309,0.002466,-0.147039
1426433260.656323,-0.307518,0.332533,-0.061250
1426433260.666334,-0.417313,0.575075,0.036965
1426433260.676340,-0.469618,0.657823,0.103498
1426433260.686351,-0.451294,0.506544,0.096524
1426433260.696357,-0.354416,0.205288,0.020536
1426433260.706343,-0.151765,-0.190037,-0.083965
1426433260.716349,0.131843,-0.566576,-0.197324
1426433260.726362,0.380462,-0.739675,-0.290681
1426433260.736368,0.491695,-0.589783,-0.329067
1426433260.746386,0.427195,-0.152037,-0.290053
1426433260.756392,0.201751,0.342326,-0.170210
1426433260.766381,-0.114702,0.682400,-0.009967
1426433260.776387,-0.407484,0.723458,0.107662
1426433260.786409,-0.595828,0.489882,0.145094
1426433260.796415,-0.654482,0.118866,0.107976
