timestamp,x (in G's),y (in G's),z (in G's)
1426433300.931320,-0.010361,-0.093674,-0.980759
1426433300.941134,-0.014282,-0.088760,-0.968765
1426433300.950956,-0.024872,-0.088470,-0.962646
1426433300.960785,-0.027267,-0.094818,-0.969055
1426433300.970613,-0.025894,-0.099640,-0.977921
1426433300.980425,-0.018845,-0.093643,-0.987274
1426433300.990259,-0.013794,-0.092087,-0.989014
1426433301.000072,-0.006897,-0.094345,-1.005035
1426433301.009906,0.003464,-0.088028,-1.015457
1426433301.019730,0.016235,-0.082352,-1.015656
1426433301.029552,0.021744,-0.084106,-1.018173
1426433301.039376,0.015411,-0.094299,-1.022675
1426433301.049198,0.013412,-0.100266,-1.026627
1426433301.059022,0.012466,-0.103119,-1.034683
1426433301.068841,0.015091,-0.097824,-1.034958
1426433301.078669,0.012711,-0.095016,-1.032501
1426433301.088492,0.007034,-0.090668,-1.025101
1426433301.098316,-0.001373,-0.093185,-1.017670
1426433301.108138,-0.008514,-0.097610,-1.011902
1426433301.117963,-0.007172,-0.094269,-1.005875
1426433301.127786,-0.001511,-0.091019,-0.995743
1426433301.137609,0.004211,-0.091675,-0.992447
1426433301.147431,0.009109,-0.097443,-0.990799
1426433301.157255,0.005356,-0.100952,-0.995865
1426433301.167079,-0.000366,-0.105438,-1.002899
1426433301.176904,-0.002686,-0.101791,-1.003189
1426433301.186728,0.005478,-0.095474,-0.992401
1426433301.196540,0.007187,-0.094391,-0.985626
1426433301.206378,0.005020,-0.092606,-0.988922
1426433301.216182,0.004257,-0.092773,-0.995361
1426433301.226023,0.001114,-0.088837,-0.994797
1426433301.235849,0.000488,-0.089310,-0.995941
1426433301.245677,0.002243,-0.089615,-0.997589
1426433301.255488,-0.002518,-0.091431,-0.996185
1426433301.265323,-0.009094,-0.091202,-1.000854
1426433301.275119,-0.013504,-0.094467,-1.008179
1426433301.284967,-0.005035,-0.089890,-1.011688
1426433301.294787,0.007416,-0.081238,-1.006866
1426433301.304607,0.009155,-0.082703,-0.999130
1426433301.314430,0.008209,-0.087967,-0.997894
1426433301.324258,0.001923,-0.094528,-0.994797
1426433301.334078,0.000473,-0.102798,-0.996613
1426433301.343893,0.012085,-0.103882,-0.994370
1426433301.353728,0.018784,-0.099869,-0.988983
