timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426433388.710067,-9.992020,26.530518,-242.967941
1426433388.729862,-8.958374,27.219620,-243.633606
1426433388.749666,-10.853409,25.669144,-244.132858
1426433388.769476,-8.958374,26.185959,-243.966446
1426433388.789279,-9.130646,27.391891,-242.801529
1426433388.809087,-9.992020,26.875076,-244.632111
1426433388.828879,-9.647476,26.530518,-243.633606
1426433388.848685,-10.164307,25.669144,-243.800034
1426433388.868491,-9.475189,28.425552,-243.467194
1426433388.888292,-9.992020,26.530518,-244.299271
1426433388.908090,-9.992020,26.875076,-244.632111
1426433388.927890,-11.025681,28.597824,-244.299271
1426433388.947692,-10.164307,27.047348,-244.798523
1426433388.967501,-10.508850,26.358246,-244.132858
1426433388.987298,-9.819748,27.047348,-245.131363
1426433389.007100,-9.819748,28.081009,-244.798523
1426433389.026898,-9.302917,27.219620,-244.632111
1426433389.046701,-9.475189,26.358246,-244.465698
1426433389.066501,-9.819748,27.391891,-244.465698
1426433389.086304,-11.197952,26.358246,-244.798523
1426433389.106108,-10.164307,28.770111,-244.798523
1426433389.125914,-11.714783,27.908722,-243.966446
1426433389.145729,-10.336578,28.253281,-244.632111
1426433389.165522,-9.130646,27.391891,-244.798523
1426433389.185317,-9.819748,27.391891,-244.798523
1426433389.205110,-9.647476,27.564178,-243.633606
1426433389.224948,-11.370239,27.219620,-244.964951
1426433389.244723,-9.819748,28.081009,-243.800034
1426433389.264529,-9.647476,27.564178,-243.966446
1426433389.284336,-8.441544,28.081009,-244.798523
1426433389.304141,-9.647476,26.530518,-244.964951
1426433389.323946,-7.407883,27.391891,-244.132858
1426433389.343753,-9.302917,27.908722,-243.300781
1426433389.363559,-8.613815,28.597824,-244.299271
1426433389.383359,-7.924713,26.530518,-243.966446
1426433389.403170,-9.992020,27.219620,-243.966446
1426433389.422977,-9.475189,27.047348,-245.131363
1426433389.442771,-9.130646,26.702789,-244.798523
1426433389.462580,-8.958374,26.875076,-243.633606
1426433389.482386,-9.475189,26.702789,-244.132858
1426433389.502193,-9.992020,26.530518,-243.966446
1426433389.521997,-8.441544,26.013687,-243.467194
1426433389.541801,-10.681122,26.185959,-243.300781
1426433389.561609,-8.441544,26.358246,-243.134369
1426433389.581418,-9.302917,26.530518,-244.632111
1426433389.601230,-9.302917,26.875076,-243.300781
1426433389.621027,-8.613815,26.185959,-243.966446
1426433389.640837,-8.613815,25.152313,-242.967941
1426433389.660639,-8.441544,27.047348,-244.132858
1426433389.680448,-9.992020,27.219620,-244.964951
1426433389.700262,-9.302917,27.564178,-244.299271
1426433389.719341,-8.786087,26.358246,-244.465698
1426433389.739156,-9.647476,26.875076,-243.966446
1426433389.758960,-8.786087,26.702789,-244.132858
1426433389.778763,-10.681122,26.185959,-244.299271
1426433389.798582,-8.958374,25.152313,-242.635117
1426433389.818363,-9.130646,24.980026,-242.468704
1426433389.838168,-8.786087,26.013687,-243.800034
1426433389.857975,-7.924713,26.530518,-243.633606
1426433389.877795,-9.130646,25.669144,-243.467194
1426433389.897604,-9.302917,24.807755,-243.966446
1426433389.917405,-8.096985,26.013687,-244.798523
1426433389.937212,-7.752441,27.047348,-243.134369
1426433389.957018,-9.302917,26.185959,-244.632111
1426433389.976824,-8.269257,26.875076,-243.300781
1426433389.996624,-11.025681,24.463211,-244.299271
