timestamp,x (in G's),y (in G's),z (in G's)
1426433581.059522,0.019073,-0.092926,-1.007523
1426433581.069349,0.013519,-0.078552,-1.002197
1426433581.079175,0.006836,-0.064468,-0.999237
1426433581.088988,0.005905,-0.057266,-0.993149
1426433581.098811,0.004181,-0.054398,-0.993011
1426433581.108634,0.003830,-0.057480,-0.995880
1426433581.118457,0.004288,-0.062103,-1.000534
1426433581.128284,0.007431,-0.064819,-0.999832
1426433581.138110,0.020142,-0.066483,-0.996414
1426433581.147918,0.032181,-0.065552,-0.990768
1426433581.157756,0.026413,-0.077652,-0.993027
1426433581.167581,0.018372,-0.091187,-0.987106
1426433581.177405,0.016754,-0.097946,-0.982346
1426433581.187231,0.016113,-0.101517,-0.982559
1426433581.197063,0.005585,-0.093689,-0.990997
1426433581.206878,0.001587,-0.081696,-1.001877
1426433581.216701,-0.004150,-0.069839,-1.008667
1426433581.226532,-0.004944,-0.070236,-1.009720
1426433581.236352,-0.004181,-0.075104,-1.009338
1426433581.246160,0.001297,-0.073776,-1.008789
1426433581.256000,0.008545,-0.070541,-1.001770
1426433581.265813,0.001663,-0.075241,-0.993912
1426433581.275648,-0.001358,-0.081573,-0.987289
1426433581.285461,-0.002899,-0.079498,-0.980774
1426433581.295299,-0.004013,-0.081802,-0.983002
1426433581.305112,-0.005325,-0.083099,-0.990509
1426433581.314948,0.005325,-0.087250,-0.998444
1426433581.324766,0.012970,-0.086349,-1.003952
1426433581.334598,0.013351,-0.083862,-1.005783
1426433581.344421,0.009796,-0.084946,-1.005539
1426433581.354246,0.013580,-0.085144,-1.007370
1426433581.364071,0.014938,-0.087418,-0.995483
1426433581.373896,0.016647,-0.090256,-0.991180
1426433581.383721,0.019226,-0.089142,-0.992004
1426433581.393543,0.018890,-0.088730,-0.992783
1426433581.403368,0.017807,-0.090530,-0.993729
1426433581.413192,0.018066,-0.089371,-0.989868
1426433581.423017,0.011841,-0.089218,-0.991684
1426433581.432839,0.009583,-0.087158,-0.992249
1426433581.442663,0.009689,-0.088165,-0.990601
1426433581.452487,0.010193,-0.091141,-0.988159
1426433581.462310,0.009995,-0.093216,-0.987106
1426433581.472134,0.000183,-0.097046,-0.991653
1426433581.481958,-0.006104,-0.097870,-0.997131
1426433581.491783,-0.011032,-0.089539,-0.992661
1426433581.501614,-0.012527,-0.081879,-0.987625
1426433581.511432,-0.012024,-0.076584,-0.985992
1426433581.521255,-0.003616,-0.077606,-0.983505
1426433581.531080,0.006241,-0.089478,-0.997131
1426433581.540903,0.007095,-0.094162,-1.007462
1426433581.550727,0.003250,-0.089706,-1.000809
1426433581.560551,0.001450,-0.081543,-0.992279
1426433581.570376,0.002045,-0.078354,-0.989410
1426433581.580200,0.004852,-0.084396,-0.988922
1426433581.590024,0.014282,-0.089203,-0.996857
1426433581.599848,0.013077,-0.094177,-1.008530
1426433581.609671,0.010757,-0.088821,-1.016006
1426433581.619494,0.012680,-0.080551,-1.015930
1426433581.629323,0.017136,-0.078812,-1.000946
1426433581.639139,0.023239,-0.083923,-0.986679
1426433581.648973,0.023682,-0.098083,-0.987869
1426433581.658784,0.013092,-0.105072,-0.992950
1426433581.668610,0.009003,-0.093231,-0.995041
1426433581.678441,0.009689,-0.075760,-0.991013
1426433581.688258,0.012924,-0.074600,-0.986832
1426433581.698063,0.012970,-0.094009,-0.979980
1426433581.707886,0.015350,-0.110672,-0.980469
1426433581.717713,0.014923,-0.114395,-0.987335
1426433581.727538,0.011658,-0.106598,-0.996185
1426433581.737357,0.002106,-0.093414,-1.002075
1426433581.747193,-0.000198,-0.093857,-0.998505
1426433581.757002,0.003632,-0.103607,-0.993881
1426433581.766846,0.005844,-0.112091,-0.991531
1426433581.776669,0.006546,-0.116379,-0.989395
1426433581.786496,0.004318,-0.116714,-0.997223
1426433581.796312,0.001053,-0.114639,-1.006271
1426433581.806128,0.002426,-0.108826,-1.005569
1426433581.815949,-0.000641,-0.108292,-0.998596
1426433581.825787,-0.004578,-0.105377,-0.993622
1426433581.835589,-0.005493,-0.103317,-0.990829
1426433581.845434,-0.006180,-0.106995,-0.988846
1426433581.855239,-0.003098,-0.112976,-0.995193
1426433581.865062,0.004440,-0.116928,-0.998108
1426433581.874885,0.002289,-0.115463,-0.983429
1426433581.884708,-0.003098,-0.110275,-0.967728
1426433581.894532,-0.008362,-0.108047,-0.963181
1426433581.904354,-0.013458,-0.108490,-0.968048
1426433581.914177,-0.012634,-0.110352,-0.975830
1426433581.924000,-0.007599,-0.114273,-0.978867
1426433581.933836,-0.008286,-0.112305,-0.974716
1426433581.943648,-0.010681,-0.110535,-0.967239
1426433581.953471,-0.020279,-0.111023,-0.951874
1426433581.963296,-0.024750,-0.115845,-0.934647
1426433581.973120,-0.031235,-0.123032,-0.934250
1426433581.982960,-0.036102,-0.126663,-0.938522
1426433581.992772,-0.035278,-0.123337,-0.948410
1426433582.002597,-0.038681,-0.116623,-0.953079
1426433582.012420,-0.042664,-0.118988,-0.945557
1426433582.022243,-0.046570,-0.122574,-0.944351
1426433582.032069,-0.046906,-0.125580,-0.953110
1426433582.041891,-0.046768,-0.131500,-0.969131
1426433582.051715,-0.046249,-0.138443,-0.982986
1426433582.061540,-0.040436,-0.143158,-0.990555
1426433582.071363,-0.035629,-0.146591,-0.994629
1426433582.081186,-0.029694,-0.154541,-1.009796
1426433582.091009,-0.022324,-0.150925,-1.023300
1426433582.100830,-0.013702,-0.152908,-1.053177
1426433582.110657,-0.004425,-0.147736,-1.081665
1426433582.120478,0.003250,-0.140854,-1.097565
1426433582.130301,0.010712,-0.136459,-1.090912
1426433582.140125,0.019516,-0.140991,-1.065170
1426433582.149947,0.029480,-0.153976,-1.032104
1426433582.159770,0.039948,-0.164810,-1.006546
1426433582.169587,0.042175,-0.173645,-0.985901
1426433582.179416,0.045380,-0.179703,-0.968506
1426433582.189238,0.049576,-0.182037,-0.956818
1426433582.199063,0.050781,-0.185028,-0.948257
1426433582.208893,0.047729,-0.186584,-0.954697
1426433582.218710,0.041840,-0.184082,-0.960876
1426433582.228516,0.037750,-0.180725,-0.964401
1426433582.238343,0.036697,-0.182388,-0.967987
1426433582.248184,0.037582,-0.180252,-0.973145
1426433582.258001,0.033752,-0.181030,-0.975525
1426433582.267823,0.024734,-0.177765,-0.970840
1426433582.277648,0.009247,-0.179520,-0.972397
1426433582.287476,-0.001022,-0.180374,-0.979019
1426433582.297294,-0.015091,-0.180634,-0.983612
1426433582.307129,-0.022293,-0.177002,-0.995163
1426433582.316941,-0.024719,-0.170074,-1.000778
1426433582.326768,-0.032791,-0.168381,-1.000656
1426433582.336587,-0.042786,-0.167114,-1.003906
1426433582.346398,-0.049759,-0.171310,-1.007980
1426433582.356234,-0.053314,-0.173859,-1.011002
1426433582.366071,-0.055908,-0.174942,-1.010849
1426433582.375882,-0.054840,-0.174515,-1.012238
1426433582.385693,-0.053177,-0.177002,-1.008713
1426433582.395528,-0.051453,-0.180267,-1.007019
1426433582.405352,-0.050644,-0.190598,-1.014008
1426433582.415161,-0.048325,-0.191391,-1.028442
1426433582.424995,-0.046585,-0.184113,-1.039139
1426433582.434821,-0.043335,-0.169052,-1.045181
1426433582.444645,-0.039612,-0.156525,-1.057907
1426433582.454470,-0.038132,-0.150833,-1.074219
1426433582.464294,-0.037125,-0.149292,-1.085068
1426433582.474117,-0.036880,-0.148529,-1.080597
1426433582.483942,-0.043076,-0.148514,-1.071426
1426433582.493765,-0.046402,-0.150284,-1.057068
1426433582.503587,-0.055756,-0.154678,-1.031464
1426433582.513409,-0.058029,-0.150223,-1.020370
1426433582.523232,-0.055267,-0.150925,-1.029327
1426433582.533056,-0.043243,-0.145081,-1.059845
1426433582.542879,-0.026215,-0.129639,-1.103241
1426433582.552701,-0.021439,-0.103745,-1.155167
1426433582.562524,-0.022858,-0.061798,-1.201645
1426433582.572348,-0.029099,-0.025970,-1.230270
1426433582.582170,-0.038651,-0.015106,-1.230850
1426433582.592002,-0.043915,-0.018265,-1.208130
1426433582.601815,-0.048508,-0.024887,-1.187134
1426433582.611638,-0.056732,-0.043579,-1.165802
1426433582.621462,-0.057785,-0.065109,-1.157089
1426433582.631284,-0.052689,-0.070068,-1.158676
1426433582.641107,-0.041763,-0.065048,-1.168625
1426433582.650930,-0.026672,-0.052124,-1.166870
1426433582.660752,-0.001465,-0.046036,-1.154633
1426433582.670563,0.005310,-0.040268,-1.136703
1426433582.680398,0.006607,-0.027557,-1.090530
1426433582.690216,0.008194,-0.018753,-1.021118
1426433582.700045,0.011841,-0.014053,-0.949265
1426433582.709869,0.026291,-0.022659,-0.865112
1426433582.719696,0.039612,-0.033310,-0.783188
1426433582.729504,0.055191,-0.046555,-0.711685
1426433582.739329,0.063507,-0.054291,-0.662720
1426433582.749141,0.071457,-0.051208,-0.645844
1426433582.758970,0.077103,-0.048035,-0.665161
1426433582.768799,0.079498,-0.041885,-0.734497
1426433582.778612,0.081116,-0.030685,-0.834305
1426433582.788421,0.076569,-0.025436,-0.921478
1426433582.798257,0.067062,-0.016312,-0.966431
1426433582.808085,0.063919,-0.004730,-1.003922
1426433582.817900,0.058838,-0.007553,-1.046936
1426433582.827720,0.056778,-0.005920,-1.082169
1426433582.837546,0.052261,-0.009201,-1.099228
1426433582.847351,0.045059,-0.010941,-1.099442
1426433582.857189,0.037125,-0.023224,-1.082535
1426433582.867021,0.032455,-0.031296,-1.046936
1426433582.876833,0.028564,-0.050125,-0.994217
1426433582.886656,0.024689,-0.070541,-0.937180
1426433582.896485,0.020569,-0.092896,-0.883942
1426433582.906307,0.006363,-0.108826,-0.836456
1426433582.916128,-0.006332,-0.121292,-0.807114
1426433582.925964,-0.011353,-0.127563,-0.789368
1426433582.935761,-0.015213,-0.127609,-0.778900
1426433582.945590,-0.017899,-0.127853,-0.782928
1426433582.955408,-0.022247,-0.132187,-0.806396
1426433582.965236,-0.020721,-0.130890,-0.837891
1426433582.975067,-0.015701,-0.126709,-0.872986
1426433582.984900,-0.009720,-0.115570,-0.902634
1426433582.994710,-0.005890,-0.105331,-0.923065
1426433583.004541,-0.003113,-0.103958,-0.941513
1426433583.014374,0.000824,-0.113312,-0.952606
1426433583.024175,0.008987,-0.128571,-0.961685
1426433583.034005,0.022614,-0.146301,-0.966782
1426433583.043824,0.026337,-0.158813,-0.967606
1426433583.053669,0.028107,-0.163086,-0.970413
1426433583.063473,0.029617,-0.154114,-0.971741
1426433583.073296,0.030045,-0.148087,-0.972290
1426433583.083118,0.028931,-0.151550,-0.975769
1426433583.092944,0.028503,-0.158066,-0.976471
1426433583.102766,0.026749,-0.164154,-0.974792
1426433583.112590,0.025635,-0.173645,-0.964249
1426433583.122418,0.026459,-0.181122,-0.956543
1426433583.132240,0.023727,-0.185501,-0.946030
1426433583.142064,0.010071,-0.197769,-0.936188
1426433583.151888,0.003876,-0.211670,-0.947235
1426433583.161710,0.001297,-0.212112,-0.984589
1426433583.171533,0.007111,-0.200134,-1.030518
1426433583.181358,0.011078,-0.176239,-1.079361
1426433583.191180,0.005707,-0.151749,-1.125229
1426433583.201011,0.011139,-0.116211,-1.156937
1426433583.210827,0.018799,-0.086960,-1.191528
1426433583.220648,0.023392,-0.066345,-1.220901
1426433583.230470,0.019501,-0.064255,-1.225800
1426433583.240292,0.018814,-0.081024,-1.190033
1426433583.250122,0.013428,-0.116608,-1.125977
1426433583.259940,0.018036,-0.149994,-1.076752
1426433583.269745,0.026794,-0.171585,-1.081955
1426433583.279584,0.039673,-0.173981,-1.149460
1426433583.289418,0.055649,-0.145340,-1.253784
1426433583.299229,0.054886,-0.100769,-1.351059
1426433583.309051,0.045441,-0.040878,-1.413452
1426433583.318876,0.031677,-0.003815,-1.439606
1426433583.328698,0.009521,0.022995,-1.397705
1426433583.338521,-0.012756,0.006927,-1.295166
1426433583.348335,-0.033493,-0.026855,-1.169571
1426433583.358167,-0.044250,-0.049316,-1.054214
1426433583.367981,-0.047684,-0.065323,-0.966919
1426433583.377809,-0.041031,-0.076920,-0.908005
1426433583.387640,-0.040329,-0.082504,-0.868057
1426433583.397461,-0.045181,-0.071960,-0.833511
1426433583.407297,-0.056305,-0.058945,-0.807373
1426433583.417109,-0.069977,-0.051514,-0.785675
1426433583.426921,-0.079224,-0.049545,-0.781387
1426433583.436754,-0.086060,-0.045929,-0.789902
1426433583.446568,-0.086792,-0.033508,-0.823456
1426433583.456402,-0.079102,-0.024826,-0.879379
1426433583.466215,-0.062424,-0.009232,-0.944199
1426433583.476051,-0.042603,0.006973,-1.013611
1426433583.485875,-0.030472,0.021378,-1.079361
1426433583.495701,-0.028168,0.026733,-1.134369
1426433583.505518,-0.033844,0.042313,-1.174286
1426433583.515348,-0.044952,0.065338,-1.180252
1426433583.525172,-0.058868,0.083099,-1.156036
1426433583.534995,-0.070312,0.093094,-1.085693
1426433583.544819,-0.076126,0.078079,-0.982590
1426433583.554642,-0.065765,0.017578,-0.887817
1426433583.564466,-0.033066,-0.060776,-0.817032
1426433583.574290,-0.059052,-0.063736,-0.727249
1426433583.584112,-0.050034,-0.071793,-0.697083
1426433583.593936,-0.038406,-0.098038,-0.704575
1426433583.603759,-0.022949,-0.131882,-0.725403
1426433583.613583,-0.010742,-0.153870,-0.755783
1426433583.623407,-0.001587,-0.157608,-0.787674
1426433583.633231,0.005478,-0.153732,-0.830078
1426433583.643054,0.007568,-0.148514,-0.870651
1426433583.652881,0.005249,-0.140961,-0.906418
1426433583.662700,0.000275,-0.128937,-0.932526
1426433583.672525,-0.001999,-0.114914,-0.951675
1426433583.682343,-0.002701,-0.106598,-0.967117
1426433583.692173,-0.000854,-0.109283,-0.980820
1426433583.701997,-0.003387,-0.115616,-0.985474
1426433583.711820,-0.011246,-0.119080,-0.990738
1426433583.721644,-0.021469,-0.118225,-0.992233
1426433583.731475,-0.035065,-0.114410,-0.998749
1426433583.741288,-0.041672,-0.109879,-1.000076
1426433583.751099,-0.044754,-0.112762,-1.000000
1426433583.760934,-0.053116,-0.120026,-0.997223
1426433583.770751,-0.053329,-0.128387,-0.989441
1426433583.780582,-0.050430,-0.138321,-0.982269
1426433583.790402,-0.049042,-0.149170,-0.976395
1426433583.800228,-0.048691,-0.162796,-0.966980
1426433583.810059,-0.049713,-0.173447,-0.961807
1426433583.819875,-0.045441,-0.182480,-0.966141
1426433583.829682,-0.042068,-0.181763,-0.977448
1426433583.839520,-0.040375,-0.179825,-1.000076
1426433583.849347,-0.038330,-0.174698,-1.030899
1426433583.859169,-0.034912,-0.170837,-1.060699
1426433583.868988,-0.032059,-0.166077,-1.084854
1426433583.878816,-0.034256,-0.159119,-1.099030
1426433583.888642,-0.039078,-0.151871,-1.106003
1426433583.898466,-0.046402,-0.145218,-1.107468
1426433583.908295,-0.060471,-0.132492,-1.116226
1426433583.918115,-0.075027,-0.118942,-1.128662
1426433583.927923,-0.090515,-0.119400,-1.129715
1426433583.937764,-0.105042,-0.135101,-1.119278
1426433583.947602,-0.102509,-0.165695,-1.095337
