timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426433581.072254,27.564178,51.682831,-247.627609
1426433581.092075,27.736450,51.855118,-246.795517
1426433581.111886,27.047348,50.132355,-247.794022
1426433581.131698,29.286942,48.926422,-247.294769
1426433581.151514,28.081009,52.199661,-246.795517
1426433581.171332,27.736450,52.199661,-246.795517
1426433581.191135,26.702789,51.855118,-245.797028
1426433581.210950,27.736450,51.166000,-247.461182
1426433581.230764,28.425552,52.199661,-246.129852
1426433581.250574,26.702789,51.855118,-247.128357
1426433581.270383,27.391891,51.855118,-246.795517
1426433581.290189,26.185959,51.338287,-247.627609
1426433581.310017,26.875076,50.649170,-245.963440
1426433581.329824,26.875076,52.027390,-247.294769
1426433581.349632,26.702789,51.510559,-246.795517
1426433581.369447,28.425552,53.233322,-247.461182
1426433581.389266,27.564178,51.682831,-246.961945
1426433581.409071,28.770111,51.855118,-247.461182
1426433581.428883,28.253281,50.993729,-246.629105
1426433581.448703,27.219620,50.993729,-246.629105
1426433581.468525,27.564178,52.716492,-246.296280
1426433581.488331,28.253281,53.061050,-246.961945
1426433581.508145,26.013687,53.577866,-246.795517
1426433581.527944,28.081009,51.510559,-246.129852
1426433581.547750,27.564178,53.061050,-247.627609
1426433581.567555,27.736450,52.199661,-247.461182
1426433581.587387,27.219620,52.371933,-247.294769
1426433581.607198,27.219620,52.716492,-246.629105
1426433581.627003,26.875076,53.061050,-246.961945
1426433581.646809,26.702789,52.544220,-245.797028
1426433581.666627,28.942383,52.371933,-246.629105
1426433581.686446,27.219620,52.027390,-246.296280
1426433581.706267,26.875076,51.682831,-246.629105
1426433581.726058,26.185959,53.405594,-245.963440
1426433581.745870,26.702789,51.855118,-247.794022
1426433581.765677,26.875076,52.027390,-245.297775
1426433581.785509,28.081009,52.199661,-247.461182
1426433581.805306,27.391891,51.855118,-246.462692
1426433581.825107,27.219620,52.716492,-246.961945
1426433581.844916,28.081009,53.233322,-246.462692
1426433581.864724,26.358246,53.233322,-247.128357
1426433581.884534,27.047348,51.166000,-246.795517
1426433581.904346,26.875076,52.716492,-248.958939
1426433581.924151,26.185959,53.405594,-245.963440
1426433581.943962,27.047348,52.544220,-247.461182
1426433581.963774,26.875076,53.405594,-246.629105
1426433581.983597,25.841415,51.338287,-247.294769
1426433582.003409,27.391891,52.888763,-246.129852
1426433582.023217,26.530518,53.061050,-247.627609
1426433582.043012,27.908722,53.750153,-246.629105
1426433582.062846,26.185959,53.405594,-247.960434
1426433582.082287,25.152313,53.405594,-246.961945
1426433582.102117,25.841415,56.162018,-246.961945
1426433582.121906,26.358246,54.956085,-246.462692
1426433582.141712,27.047348,53.922424,-246.462692
1426433582.161550,24.807755,54.439255,-246.296280
1426433582.181356,26.358246,55.300629,-245.131363
1426433582.201161,26.013687,55.300629,-247.461182
1426433582.220967,25.841415,54.094696,-245.963440
1426433582.240787,25.152313,55.817459,-246.629105
1426433582.260609,25.152313,54.439255,-247.294769
1426433582.280416,25.496857,55.128357,-246.296280
1426433582.300234,24.980026,55.645187,-246.462692
1426433582.320049,27.736450,55.989731,-247.128357
1426433582.339863,24.807755,54.783798,-245.630615
1426433582.359683,26.358246,56.334290,-246.129852
1426433582.379501,26.185959,55.472916,-247.294769
1426433582.399310,25.324585,55.645187,-246.462692
1426433582.419127,26.530518,54.783798,-247.294769
1426433582.438951,26.185959,54.094696,-246.629105
1426433582.458762,25.841415,53.405594,-247.294769
1426433582.478582,26.185959,54.094696,-246.296280
1426433582.498392,26.702789,54.266983,-246.462692
1426433582.518211,27.219620,53.750153,-246.961945
1426433582.538026,27.908722,54.439255,-246.296280
1426433582.557848,26.875076,54.094696,-247.294769
1426433582.577656,27.564178,53.405594,-246.629105
1426433582.597475,26.530518,51.682831,-246.296280
1426433582.617284,27.047348,54.266983,-248.126862
1426433582.637107,27.047348,54.611526,-247.128357
1426433582.656919,26.013687,53.577866,-246.795517
1426433582.676729,27.047348,52.199661,-247.794022
1426433582.696548,26.185959,53.061050,-246.296280
1426433582.716344,26.013687,52.544220,-247.461182
1426433582.736160,26.185959,51.682831,-247.294769
1426433582.755978,24.635483,52.199661,-246.795517
1426433582.775781,24.463211,51.338287,-247.627609
1426433582.795599,25.324585,51.510559,-247.128357
1426433582.815399,24.463211,50.993729,-247.627609
1426433582.835208,25.841415,52.371933,-249.291763
1426433582.855020,25.152313,51.338287,-247.294769
1426433582.874826,24.980026,51.166000,-247.128357
1426433582.894640,24.635483,51.510559,-248.792526
1426433582.914456,26.185959,50.993729,-248.958939
1426433582.934276,25.669144,50.476898,-247.461182
1426433582.954085,25.324585,51.166000,-247.461182
1426433582.973899,27.047348,51.510559,-247.461182
1426433582.993712,26.530518,50.993729,-246.296280
1426433583.013534,26.358246,53.922424,-247.794022
1426433583.033338,26.358246,52.199661,-248.126862
1426433583.053151,27.219620,52.716492,-246.961945
1426433583.072966,26.875076,52.716492,-246.961945
1426433583.093325,27.736450,52.199661,-246.129852
1426433583.113143,26.530518,52.027390,-247.294769
1426433583.132949,26.013687,53.233322,-246.129852
1426433583.152774,27.219620,54.094696,-247.627609
1426433583.172599,26.875076,54.094696,-246.296280
1426433583.192402,27.564178,52.371933,-246.961945
