timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433597.322198,-0.037048,-0.105927,-0.038486
1426433597.332204,-0.057300,-0.110071,-0.038399
1426433597.342209,-0.074407,-0.106667,-0.050012
1426433597.352215,-0.077633,-0.095887,-0.061671
1426433597.362222,-0.062631,-0.074652,-0.063805
1426433597.372228,-0.031643,-0.056745,-0.061771
1426433597.382234,0.002508,-0.049537,-0.056595
1426433597.392240,0.032376,-0.039058,-0.056710
1426433597.402248,0.046177,-0.031582,-0.067400
1426433597.412254,0.045191,-0.016666,-0.067346
1426433597.422250,0.025114,0.000410,-0.058673
1426433597.432256,0.002730,-0.002647,-0.059636
1426433597.442273,-0.013463,-0.028003,-0.071349
1426433597.452279,-0.018927,-0.047092,-0.076707
1426433597.462286,-0.011571,-0.060950,-0.079982
1426433597.472292,-0.004218,-0.080162,-0.080082
1426433597.482299,-0.002084,-0.093046,-0.070554
1426433597.492305,-0.012752,-0.101535,-0.067335
1426433597.502310,-0.024594,-0.118457,-0.072654
1426433597.512316,-0.040648,-0.120404,-0.082161
1426433597.522324,-0.050241,-0.108543,-0.091656
1426433597.532330,-0.045876,-0.080827,-0.096909
1426433597.542336,-0.036072,-0.044712,-0.092582
1426433597.552342,-0.020972,-0.006448,-0.093596
1426433597.562349,0.000314,0.011666,-0.107482
1426433597.572355,0.023646,0.006287,-0.116132
1426433597.582362,0.036466,-0.002418,-0.104514
1426433597.592368,0.035466,-0.009998,-0.090695
1426433597.602375,0.019560,-0.003557,-0.086337
1426433597.612381,-0.010204,0.017996,-0.094634
1426433597.622388,-0.032542,0.040611,-0.107223
1426433597.632394,-0.036923,0.031141,-0.116813
1426433597.642400,-0.026405,0.003370,-0.114828
1426433597.652406,-0.009389,-0.020290,-0.101151
1426433597.662412,0.003440,-0.036510,-0.083171
1426433597.672418,0.001356,-0.046204,-0.070418
1426433597.682425,-0.010354,-0.039706,-0.074596
1426433597.692431,-0.020014,-0.040625,-0.084132
1426433597.702438,-0.023269,-0.045891,-0.088391
1426433597.712444,-0.020042,-0.042735,-0.086268
1426433597.722451,-0.014599,-0.024691,-0.083042
1426433597.732457,-0.011270,0.004066,-0.085094
1426433597.742464,-0.015404,0.033951,-0.089233
1426433597.752470,-0.021724,0.049983,-0.091278
1426433597.762477,-0.024895,0.049971,-0.088069
1426433597.772483,-0.025939,0.044591,-0.081694
1426433597.782495,-0.023755,0.041293,-0.072135
1426433597.792501,-0.028955,0.046527,-0.059317
1426433597.802510,-0.040539,0.057153,-0.049644
1426433597.812516,-0.054309,0.064647,-0.045293
1426433597.822503,-0.062769,0.074271,-0.044154
1426433597.832509,-0.053188,0.078507,-0.047382
1426433597.842523,-0.027681,0.081635,-0.056015
1426433597.852529,0.009492,0.076177,-0.064735
1426433597.862542,0.036079,0.076064,-0.069126
1426433597.872548,0.043664,0.102657,-0.070141
1426433597.882562,0.038457,0.132558,-0.075339
1426433597.892568,0.038544,0.153888,-0.078464
1426433597.902567,0.048208,0.156947,-0.069985
1426433597.912573,0.062044,0.123640,-0.047808
1426433597.922580,0.067307,0.082947,-0.027742
1426433597.932586,0.051198,0.044618,-0.019271
1426433597.942592,0.012718,0.019299,-0.021291
1426433597.952598,-0.039634,0.003745,-0.033855
1426433597.962605,-0.094080,-0.009696,-0.043209
1426433597.972611,-0.141952,-0.016977,-0.032349
1426433597.982618,-0.177940,-0.015966,-0.004488
1426433597.992624,-0.201125,-0.019351,0.029681
1426433598.002630,-0.214747,-0.024910,0.062732
