timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426433279.192633,26.530518,51.682831,-247.627609
1426433279.212445,25.496857,52.027390,-244.964951
1426433279.232262,26.530518,52.371933,-246.629105
1426433279.252073,24.807755,52.027390,-245.630615
1426433279.271882,26.530518,51.338287,-246.961945
1426433279.291687,26.530518,51.338287,-246.629105
1426433279.311509,27.219620,52.027390,-246.961945
1426433279.331304,25.324585,51.166000,-246.462692
1426433279.351105,25.324585,51.855118,-245.797028
1426433279.370941,26.013687,52.199661,-247.128357
1426433279.390738,25.841415,52.716492,-245.963440
1426433279.410549,26.358246,52.544220,-245.797028
1426433279.430359,25.152313,51.338287,-246.961945
1426433279.450175,26.185959,51.682831,-245.630615
1426433279.470006,25.496857,53.405594,-247.294769
1426433279.489813,26.875076,51.338287,-247.294769
1426433279.509620,26.358246,50.476898,-245.797028
1426433279.529452,26.358246,51.166000,-246.462692
1426433279.549260,24.980026,51.510559,-246.795517
1426433279.569059,24.980026,52.544220,-246.795517
1426433279.588878,24.635483,52.544220,-247.128357
1426433279.608678,25.496857,53.405594,-246.629105
1426433279.628509,24.807755,53.061050,-247.627609
1426433279.648321,25.669144,52.544220,-246.129852
1426433279.668118,24.807755,51.682831,-246.961945
1426433279.687933,25.324585,51.855118,-246.795517
1426433279.707743,24.807755,51.682831,-245.963440
1426433279.727544,25.324585,51.166000,-247.461182
1426433279.747351,27.047348,52.199661,-245.464188
1426433279.767187,24.980026,52.199661,-248.792526
1426433279.786993,27.736450,50.821457,-246.462692
1426433279.806798,25.152313,52.371933,-246.961945
1426433279.826598,24.290924,51.855118,-247.461182
1426433279.846410,26.013687,52.199661,-246.462692
1426433279.866241,26.530518,52.716492,-247.294769
1426433279.886048,25.324585,52.199661,-246.462692
1426433279.905857,25.669144,53.233322,-245.797028
1426433279.925676,25.669144,53.233322,-245.131363
1426433279.945494,25.841415,52.716492,-245.630615
1426433279.965317,24.807755,52.027390,-246.961945
1426433279.985108,24.290924,52.199661,-246.462692
1426433280.004922,25.324585,52.888763,-244.798523
1426433280.024763,24.635483,52.199661,-248.126862
1426433280.044547,26.702789,53.577866,-246.129852
1426433280.064362,24.980026,52.199661,-247.128357
1426433280.084169,24.118652,52.371933,-246.296280
1426433280.103984,24.980026,52.544220,-246.129852
1426433280.123792,24.290924,52.199661,-246.129852
1426433280.143605,24.980026,53.233322,-246.795517
1426433280.163418,24.635483,51.166000,-247.794022
1426433280.183230,24.635483,53.233322,-246.129852
1426433280.202352,24.290924,52.544220,-247.128357
1426433280.222165,24.118652,51.682831,-247.294769
1426433280.241975,24.290924,52.544220,-247.128357
1426433280.261787,23.601822,53.233322,-246.462692
1426433280.281601,23.774094,52.716492,-247.627609
1426433280.301412,21.706787,53.750153,-245.963440
1426433280.321221,23.257278,53.577866,-248.126862
1426433280.341030,24.463211,52.716492,-246.629105
1426433280.360838,24.463211,52.716492,-247.294769
1426433280.380647,24.980026,52.544220,-245.797028
1426433280.400461,25.841415,53.061050,-245.963440
1426433280.420268,25.496857,52.716492,-246.296280
1426433280.440077,25.324585,53.233322,-246.462692
1426433280.459886,24.290924,54.266983,-246.462692
1426433280.479688,24.807755,53.750153,-246.629105
1426433280.499515,23.946381,52.544220,-244.798523
1426433280.519319,24.290924,52.888763,-247.128357
1426433280.539133,24.635483,52.544220,-246.462692
1426433280.558947,24.807755,53.405594,-246.629105
1426433280.578757,25.496857,53.061050,-246.961945
1426433280.598574,23.946381,52.544220,-248.126862
1426433280.618382,24.463211,53.061050,-246.296280
1426433280.638188,24.807755,53.061050,-245.297775
1426433280.657993,24.290924,51.855118,-248.126862
1426433280.677807,25.152313,52.027390,-245.630615
1426433280.697612,24.635483,52.888763,-246.795517
1426433280.717421,24.463211,52.027390,-245.630615
1426433280.737225,25.152313,52.371933,-246.296280
1426433280.757042,24.290924,52.888763,-245.131363
1426433280.776860,21.534515,52.544220,-246.462692
1426433280.796661,20.845398,52.544220,-246.462692
1426433280.816458,21.017685,53.061050,-247.627609
1426433280.836284,21.189957,53.922424,-246.795517
1426433280.856083,19.984024,53.405594,-246.961945
1426433280.875889,19.122650,53.922424,-247.794022
1426433280.895695,20.156296,52.544220,-247.128357
1426433280.915532,19.639465,52.716492,-247.960434
1426433280.935312,18.778091,52.199661,-248.126862
1426433280.955144,20.156296,51.510559,-248.792526
1426433280.974930,20.845398,50.821457,-247.794022
1426433280.994756,20.673126,49.960068,-247.294769
1426433281.014561,20.156296,50.132355,-247.128357
1426433281.034374,23.084991,49.615524,-248.293274
1426433281.054188,22.912720,50.476898,-247.461182
1426433281.074009,24.118652,50.304626,-246.296280
1426433281.093810,23.601822,49.787796,-247.461182
1426433281.113622,26.185959,51.338287,-247.627609
1426433281.133425,25.152313,50.649170,-248.958939
1426433281.153233,25.669144,51.855118,-247.128357
1426433281.173041,25.324585,50.821457,-246.795517
1426433281.192858,26.185959,50.304626,-246.629105
1426433281.211963,26.530518,52.716492,-246.296280
1426433281.231780,26.875076,51.682831,-247.627609
1426433281.251584,26.875076,50.993729,-246.961945
1426433281.271393,26.875076,50.993729,-245.963440
1426433281.291203,28.770111,52.199661,-245.797028
1426433281.311011,28.770111,51.510559,-246.129852
1426433281.330814,28.597824,51.338287,-245.963440
1426433281.350620,28.425552,50.132355,-245.131363
1426433281.370426,29.803772,51.166000,-245.797028
1426433281.390233,29.286942,50.649170,-244.964951
1426433281.410069,30.665146,49.270966,-244.299271
1426433281.429874,28.425552,51.855118,-246.129852
1426433281.449672,27.047348,51.166000,-246.129852
