timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433322.003829,0.010723,0.026645,-0.008482
1426433322.013835,0.027705,0.022327,-0.012839
1426433322.023841,0.047890,0.024412,-0.020385
1426433322.033847,0.072295,0.019017,-0.027976
1426433322.043855,0.088188,0.007230,-0.030223
1426433322.053861,0.084968,0.000848,-0.029163
1426433322.063868,0.069050,0.009450,-0.027991
1426433322.073874,0.052096,0.026598,-0.028915
1426433322.083881,0.037253,0.044829,-0.033039
1426433322.093887,0.026664,0.065186,-0.039307
1426433322.103895,0.015976,0.062083,-0.042458
1426433322.113901,0.008488,0.052520,-0.040323
1426433322.123907,0.007477,0.053531,-0.033927
1426433322.133913,0.010736,0.056647,-0.027546
1426433322.143919,0.013924,0.052348,-0.025447
1426433322.153925,0.009643,0.048113,-0.025439
1426433322.163945,0.000034,0.038552,-0.022229
1426433322.173951,-0.008551,0.025821,-0.022228
1426433322.183947,-0.009645,0.017287,-0.020122
1426433322.193953,-0.004269,0.022551,-0.016937
1426433322.203944,0.005412,0.032021,-0.010567
1426433322.213950,0.013910,0.019131,-0.004265
1426433322.223963,0.012794,0.006337,-0.002172
1426433322.233969,0.005254,-0.001015,-0.008546
1426433322.243983,-0.010833,-0.009352,-0.018074
1426433322.253989,-0.029020,-0.013427,-0.026513
1426433322.263986,-0.054686,-0.027074,-0.031752
1426433322.273992,-0.076039,-0.036526,-0.032741
1426433322.284002,-0.082324,-0.025900,-0.026288
1426433322.294008,-0.072699,-0.016360,-0.027369
1426433322.304011,-0.047253,-0.011010,-0.045576
1426433322.314017,-0.021822,0.000790,-0.070148
1426433322.324037,-0.004842,0.011484,-0.085101
1426433322.334043,0.001561,0.015717,-0.086184
1426433322.344049,0.003684,0.014640,-0.086198
1426433322.354055,0.003628,0.011496,-0.091531
1426433322.364064,0.008831,0.008402,-0.105406
1426433322.374070,0.011837,-0.007460,-0.119312
1426433322.384075,0.008476,-0.025456,-0.128935
1426433322.394081,0.003144,-0.025415,-0.129973
1426433322.404082,0.008487,-0.034046,-0.121511
1426433322.414088,0.013680,-0.057497,-0.122679
1426433322.424102,0.011560,-0.051064,-0.125840
1426433322.434108,0.007452,-0.033006,-0.118309
1426433322.444116,-0.000968,-0.026648,-0.109730
1426433322.454122,-0.008417,-0.028755,-0.107571
1426433322.464129,-0.014863,-0.035078,-0.110753
1426433322.474135,-0.011693,-0.038281,-0.111844
1426433322.484134,0.000027,-0.049079,-0.103421
1426433322.494140,0.018193,-0.053555,-0.091816
1426433322.504166,0.033241,-0.042027,-0.081208
1426433322.514172,0.037593,-0.030377,-0.076934
1426433322.524175,0.033322,-0.035698,-0.074801
1426433322.534181,0.019439,-0.052719,-0.068400
1426433322.544188,-0.000815,-0.063293,-0.064076
1426433322.554194,-0.022121,-0.065300,-0.063976
1426433322.564197,-0.037016,-0.063084,-0.063895
1426433322.574203,-0.043366,-0.058808,-0.061720
1426433322.584205,-0.042266,-0.056714,-0.058525
1426433322.594211,-0.034838,-0.063157,-0.057518
1426433322.604212,-0.026396,-0.068471,-0.063965
1426433322.614218,-0.019118,-0.075796,-0.082123
1426433322.624232,-0.017206,-0.092687,-0.099220
1426433322.634238,-0.019506,-0.112829,-0.107791
1426433322.644246,-0.028024,-0.112780,-0.107748
1426433322.654252,-0.040703,-0.095676,-0.106565
1426433322.664259,-0.051272,-0.080705,-0.106463
1426433322.674265,-0.062905,-0.062512,-0.108474
1426433322.684272,-0.079778,-0.039035,-0.102991
1426433322.694278,-0.100906,-0.024114,-0.091126
1426433322.704293,-0.122034,-0.016698,-0.073964
1426433322.714299,-0.134786,-0.034882,-0.057992
1426433322.724299,-0.140254,-0.070046,-0.052757
1426433322.734305,-0.132062,-0.116854,-0.063597
1426433322.744319,-0.105881,-0.171130,-0.084132
1426433322.754325,-0.076502,-0.223284,-0.105740
1426433322.764308,-0.061875,-0.251963,-0.122939
1426433322.774314,-0.065117,-0.251884,-0.129310
1426433322.784338,-0.090488,-0.223022,-0.124831
1426433322.794344,-0.126386,-0.176025,-0.117046
1426433322.804347,-0.162260,-0.122627,-0.110305
1426433322.814353,-0.187515,-0.081047,-0.099398
1426433322.824365,-0.186260,-0.063069,-0.086571
1426433322.834371,-0.163907,-0.067478,-0.084567
1426433322.844377,-0.124713,-0.084603,-0.099722
1426433322.854383,-0.080227,-0.101718,-0.119162
1426433322.864389,-0.034598,-0.111435,-0.133260
1426433322.874395,0.003703,-0.112690,-0.136649
1426433322.884404,0.022996,-0.102241,-0.127130
1426433322.894410,0.017999,-0.062958,-0.111008
1426433322.904416,-0.010266,-0.004440,-0.087256
1426433322.914422,-0.043871,0.040192,-0.056070
1426433322.924430,-0.075475,0.057102,-0.022857
1426433322.934436,-0.106174,0.048477,0.007075
1426433322.944442,-0.130671,0.023971,0.023085
1426433322.954448,-0.144580,0.000550,0.030529
1426433322.964455,-0.148959,-0.023931,0.031536
1426433322.974461,-0.149091,-0.050566,0.032513
1426433322.984469,-0.154508,-0.072931,0.035661
1426433322.994475,-0.169443,-0.088891,0.043135
1426433323.004482,-0.186399,-0.092109,0.055983
