timestamp,x (in G's),y (in G's),z (in G's)
1426433408.320314,0.000778,-0.200653,-1.010269
1426433408.330137,-0.020264,-0.183197,-0.992004
1426433408.339951,-0.039322,-0.174637,-0.986237
1426433408.349761,-0.049210,-0.168900,-0.987991
1426433408.359592,-0.041946,-0.170456,-0.991074
1426433408.369415,-0.030731,-0.172318,-0.988876
1426433408.379236,-0.022034,-0.175430,-0.986877
1426433408.389067,-0.012238,-0.172836,-0.984894
1426433408.398882,-0.002502,-0.168777,-0.984970
1426433408.408703,-0.000870,-0.172165,-0.984451
1426433408.418526,-0.004135,-0.173599,-0.981613
1426433408.428349,-0.005249,-0.167145,-0.977646
1426433408.438170,-0.002548,-0.165695,-0.971909
1426433408.447992,-0.000702,-0.170807,-0.973862
1426433408.457812,-0.004532,-0.173309,-0.975571
1426433408.467635,-0.014313,-0.176346,-0.975693
1426433408.477466,-0.020950,-0.171188,-0.971756
1426433408.487278,-0.024658,-0.165314,-0.966019
1426433408.497085,-0.018082,-0.159546,-0.967087
1426433408.506922,-0.015533,-0.161148,-0.966385
1426433408.516738,-0.012650,-0.168854,-0.956833
1426433408.526564,-0.011749,-0.177078,-0.956100
1426433408.536390,-0.010193,-0.178497,-0.958252
1426433408.546207,-0.004761,-0.178375,-0.964539
1426433408.556030,0.005447,-0.178741,-0.976227
1426433408.565848,0.009018,-0.180084,-0.983231
1426433408.575657,0.009186,-0.181763,-0.987152
1426433408.585490,0.008804,-0.183136,-0.988922
1426433408.595324,0.010239,-0.179565,-0.986389
1426433408.605133,0.010208,-0.176865,-0.986404
1426433408.614943,0.008804,-0.178741,-0.982925
1426433408.624775,0.008209,-0.177734,-0.975815
1426433408.634586,0.005173,-0.181061,-0.970566
1426433408.644425,0.006332,-0.182083,-0.972733
1426433408.654241,0.014435,-0.191620,-0.965958
1426433408.664065,0.022446,-0.199448,-0.966797
1426433408.673886,0.027786,-0.202469,-0.970016
1426433408.683706,0.028427,-0.201141,-0.974823
1426433408.693537,0.021011,-0.198303,-0.983429
1426433408.703350,0.016708,-0.189072,-0.987427
1426433408.713171,0.021179,-0.185150,-0.983780
1426433408.722993,0.020920,-0.184830,-0.970734
1426433408.732814,0.019974,-0.186996,-0.958130
1426433408.742637,0.014114,-0.189209,-0.954315
1426433408.752457,0.008621,-0.190994,-0.963959
1426433408.762280,0.008667,-0.187012,-0.971664
1426433408.772101,0.003754,-0.177841,-0.974304
1426433408.781922,-0.003952,-0.172852,-0.975937
1426433408.791746,-0.003952,-0.172043,-0.988464
1426433408.801566,-0.003235,-0.172455,-0.999939
1426433408.811388,-0.005371,-0.175797,-1.004959
1426433408.821210,-0.001770,-0.179504,-1.004364
1426433408.831032,0.000473,-0.175781,-0.999710
1426433408.840855,-0.005859,-0.173935,-0.991180
1426433408.850678,-0.009338,-0.173035,-0.986710
1426433408.860500,-0.016144,-0.170685,-0.983521
1426433408.870329,-0.018997,-0.175018,-0.983414
1426433408.880143,-0.021576,-0.172638,-0.980942
1426433408.889966,-0.025742,-0.171921,-0.986664
1426433408.899795,-0.026932,-0.167892,-0.995911
1426433408.909609,-0.032654,-0.166412,-1.012009
1426433408.919433,-0.029922,-0.164017,-1.032562
1426433408.929256,-0.028809,-0.158112,-1.045044
1426433408.939077,-0.030396,-0.157318,-1.042282
1426433408.948900,-0.034409,-0.157394,-1.036285
1426433408.958725,-0.037415,-0.161407,-1.026077
1426433408.968542,-0.041016,-0.170242,-1.018112
1426433408.978348,-0.037186,-0.175369,-1.003082
1426433408.988188,-0.034103,-0.178314,-0.974579
1426433408.998002,-0.038330,-0.183868,-0.952042
1426433409.007834,-0.044998,-0.198380,-0.939529
1426433409.017656,-0.042969,-0.208115,-0.932938
1426433409.027481,-0.038788,-0.213242,-0.932953
1426433409.037306,-0.031387,-0.219269,-0.933823
1426433409.047134,-0.029312,-0.218323,-0.947159
1426433409.056962,-0.031250,-0.221039,-0.969650
1426433409.066772,-0.033844,-0.219742,-0.984131
1426433409.076584,-0.039551,-0.217407,-0.990829
1426433409.086418,-0.047318,-0.208099,-1.001923
1426433409.096243,-0.053192,-0.201553,-1.016022
1426433409.106064,-0.058105,-0.192780,-1.020782
1426433409.115873,-0.066040,-0.183594,-1.014725
1426433409.125709,-0.077637,-0.174423,-1.002151
1426433409.135521,-0.085510,-0.170181,-0.983414
1426433409.145357,-0.086319,-0.173874,-0.964386
1426433409.155171,-0.083145,-0.183029,-0.947113
1426433409.165013,-0.080978,-0.194336,-0.933701
1426433409.174840,-0.073639,-0.207245,-0.924652
1426433409.184647,-0.066116,-0.212830,-0.926437
1426433409.194474,-0.057175,-0.215225,-0.934891
1426433409.204300,-0.051224,-0.217941,-0.947678
1426433409.214108,-0.049820,-0.218842,-0.956161
1426433409.223954,-0.046021,-0.217606,-0.972092
1426433409.233780,-0.041306,-0.220367,-0.985748
1426433409.243606,-0.033005,-0.223007,-0.993134
1426433409.253417,-0.025681,-0.224243,-0.989792
1426433409.263254,-0.022064,-0.224625,-0.971115
1426433409.273059,-0.022537,-0.227676,-0.957153
1426433409.282879,-0.020630,-0.232620,-0.953003
1426433409.292719,-0.019516,-0.236176,-0.957916
1426433409.302537,-0.015442,-0.235931,-0.971817
1426433409.312366,-0.012665,-0.233749,-0.975693
1426433409.322176,-0.016708,-0.225662,-0.982727
1426433409.332007,-0.018784,-0.220932,-0.997360
